0,11,14,19,22,1756
1,10,23,453,894,1757
2,6,9,17,20,450
3,7,8,13,21,892
4,1752,1763,1766,1771,1774
5,1753,1762,1775,2205,2646
12,440,444,447,455,458
15,439,448,461,1332,2195
16,879,883,884,889,897
18,877,886,899,1329,2633
438,449,452,457,460,2194
441,445,446,451,459,1330
442,2190,2201,2204,2209,2212
443,1767,2191,2200,2213,3084
454,1317,1321,1322,1327,1335
456,891,1315,1324,1337,3071
876,887,890,895,898,2632
878,882,885,893,896,1326
880,2628,2639,2642,2647,2650
881,1770,2629,2638,2651,3081
888,1316,1320,1323,1331,1334
1314,1325,1328,1333,1336,3070
1318,3066,3077,3080,3085,3088
1319,2208,2643,3067,3076,3089
1754,1758,1761,1769,1772,2202
1755,1759,1760,1765,1773,2644
1764,2192,2196,2199,2207,2210
1768,2631,2635,2636,2641,2649
2193,2197,2198,2203,2211,3082
2206,3069,3073,3074,3079,3087
2630,2634,2637,2645,2648,3078
2640,3068,3072,3075,3083,3086
