Langevin with tau_T = 100 fs and tau_P = 1000 fs

P_ext [Pa]	run_id	<T> [K]	sigma_T [K]	<P> [MPa]	sigma_P [MPa]
3e6	run44	300.001468873	20.1012641137	2.9842431938	553.738779645
3e6	run45	299.983121478	20.1397438493	2.77984804538	524.491737938
3e6	run46	299.961431347	20.0215245175	2.96793877158	551.107861737
3e6	run47	299.865124582	19.9689882136	2.90585992205	538.66232933
3e6	run48	300.01647561	20.0828840299	3.09072780237	554.972594249
3e6	run49	300.101350315	20.0326356264	2.90102874891	538.018954999
3e6	run50	300.048329125	20.1510204396	2.86540571126	538.906183831
1e7	run26	300.147993148	20.0749034228	9.9321027461	532.954565297
1e7	run27	300.292321155	20.0766929156	9.8738489185	547.016123585
1e7	run28	300.156294159	20.0405122932	9.78229282452	551.522878354
1e7	run29	300.099608901	20.04392728	10.0775484914	550.945424845
1e7	run30	299.946964544	19.920242927	10.0338070185	570.793013056
1e7	run31	300.041949693	19.9413940123	9.89121820417	546.168562709
1e7	run32	300.119053307	20.0436447972	9.89248106827	541.516391877
1e7	run33	299.977075369	20.0682503194	10.1480714082	543.813261892
1e7	run34	300.147741082	20.1010979082	9.97863690349	555.805839699
1e7	run35	299.998693536	19.8928934544	10.0234633042	545.30470142
1e7	run36	300.15165926	20.0407534673	9.89324678461	536.550274899
1e7	run37	299.95112044	19.9313076497	10.0478361117	530.658484125
1e7	run38	299.998079385	20.0116852092	9.97696266559	547.578936917
1e7	run39	300.025286853	20.1190215192	9.95363136815	549.506936979
1e7	run40	299.995536245	20.0795700504	9.93903409276	557.091690179
1e7	run41	299.992618698	19.9810700465	9.94452365633	566.352404132
1e7	run42	300.130757845	19.9807162601	9.98899275342	541.98933877
1e7	run43	300.076873187	20.0576967156	9.91376989666	537.329061428
1e7	run44	299.956903683	20.0444716945	9.94160280359	546.743920584
1e7	run45	300.168490814	19.9898365485	10.0395053417	553.46696565
1e7	run46	300.171710081	20.2258276601	9.96619797661	538.869681729
1e7	run47	299.917844646	20.020721294	10.1251824142	554.389975689
1e7	run48	300.101812108	20.0961629369	9.95378810884	545.093121543
1e7	run49	299.928042446	20.0549654964	10.042500588	537.584171631
1e7	run50	299.946497367	20.0313436738	9.91534441875	532.595913524
3e7	run26	300.078582808	19.8478548978	30.0021249141	547.77445093
3e7	run27	300.036645153	20.1813053548	29.9492601469	568.646528597
3e7	run28	299.882311468	20.1399449663	29.9917488639	549.741210861
3e7	run29	300.12397772	20.0724618237	30.0692497639	569.733511243
3e7	run30	300.112836436	20.1332562107	29.7957765936	531.770768029
3e7	run31	299.865490963	20.0514302621	30.0787120821	565.379545063
3e7	run32	299.925687888	20.0233398514	30.1512067891	580.934457938
3e7	run33	300.107298389	19.9950667432	30.0234098219	559.425254365
3e7	run34	299.981842194	20.1049338843	29.9137253789	555.717764614
3e7	run35	299.975179282	20.1478277203	30.1135620265	565.252365445
3e7	run36	300.217976166	20.1329121176	29.7217068546	544.493026468
3e7	run37	300.030566609	20.0667988615	29.7284491352	529.796202212
3e7	run38	300.136474803	19.9665414157	30.0986346835	548.983027813
3e7	run39	300.072545917	20.0266900847	29.927506845	531.604610157
3e7	run40	300.177970826	20.0556550967	30.0481059104	545.039736573
3e7	run41	300.004301404	19.9708020211	29.936732522	532.281249999
3e7	run42	300.147316064	20.0327100469	29.8062478074	542.707414343
3e7	run43	300.144194675	20.0115560094	29.8785405617	536.581875644
3e7	run44	300.025365758	19.9930012597	29.9901775718	533.630804388
3e7	run45	300.045515765	20.0072822973	29.9746483169	571.524092755
3e7	run46	300.178948546	20.0400598546	29.8786302343	560.695972291
3e7	run47	300.181511374	19.9649156868	29.8491594349	545.087933987
3e7	run48	300.176130181	20.2307496063	29.9097192655	540.946051929
3e7	run49	300.092236245	20.2180121586	29.8556050803	553.78533021
3e7	run50	300.221848496	20.0289282649	29.7934241317	538.345257438
1e8	run26	299.963259427	19.9279121386	100.01808863	569.060715609
1e8	run27	299.980607098	19.9947012855	100.13044142	576.074353836
1e8	run28	299.986181697	20.1171481823	99.8811977038	556.71118825
1e8	run29	300.129737077	20.2530860401	99.9721579238	548.916430894
1e8	run30	300.036271274	20.0746338026	99.8680934825	568.927355471
1e8	run31	299.994032306	19.9541412178	100.144915486	565.854343503
1e8	run32	299.83743776	19.9621642733	99.8448654149	540.820701062
1e8	run33	300.19288472	19.8993520804	100.054350145	582.208187991
1e8	run34	299.989336105	19.9750312948	100.067230453	551.460218605
1e8	run35	300.0448212	19.8483585798	99.9919126877	548.389888188
1e8	run36	300.066633377	19.9751119545	99.9570850409	538.479426032
1e8	run37	300.089886887	20.0527332343	100.034307064	554.283773139
1e8	run38	300.014208204	20.0353667973	99.9880056966	555.75412195
1e8	run39	300.121805366	20.0370335255	99.9516313801	544.274236407
1e8	run40	300.128907717	20.1911637549	100.018368885	565.927302779
1e8	run41	300.000380654	20.0914801631	99.9052407768	560.199533169
1e8	run42	299.843442075	20.032525818	99.918253409	549.602923773
1e8	run43	300.04765304	20.1034583782	100.047999352	560.842145934
1e8	run44	300.1161809	20.0842696949	99.9888144414	574.318320968
1e8	run45	300.073134762	20.135281027	100.063898226	559.357275619
1e8	run46	300.033417807	20.0541080609	99.8830045792	539.747447983
1e8	run47	299.965946131	19.9279271342	100.113496839	549.312706034
1e8	run48	300.08186897	20.0591605941	99.9233270424	575.919019389
1e8	run49	299.978354341	20.0592312491	100.102877677	556.976870006
1e8	run50	300.050112915	19.9896820835	99.9322426932	554.453706856
1e6	run51	300.130909767	20.1448524462	1.00222400167	518.21135635
1e6	run52	300.075491407	19.9255238154	0.997580165899	545.51782084
1e6	run53	300.084192306	20.0569824893	0.986263536756	548.178853552
1e6	run54	300.095479072	20.0430782883	1.07493079274	547.696085397
1e6	run55	300.162503201	20.1022741615	0.862957924954	547.270324901
1e6	run56	300.125187759	20.2737290524	1.01021418288	544.960837679
1e6	run57	300.15738052	20.2116904104	0.786342510813	554.507253802
1e6	run58	300.015849081	20.5118138243	0.965119434075	565.247833888
1e6	run59	299.921960729	19.8857971938	0.996586573655	548.556858241
1e6	run60	300.239707649	20.0089751691	0.907930009232	539.027850302
1e6	run61	299.973920047	19.9682077139	0.976102644348	543.531271992
1e6	run62	300.27737739	19.9645774182	0.745713320904	527.068697989
1e6	run63	300.172924082	19.9240670606	1.11695527453	540.623357943
1e6	run64	300.020118259	20.1453983128	0.922732586037	534.832344739
1e6	run65	299.84833007	20.0179741626	0.998395973842	556.167212528
1e6	run66	300.032888717	20.0105814848	1.06336381677	534.699600257
1e6	run67	300.028533915	19.9367065954	1.12673093525	543.712767223
1e6	run68	300.135133751	20.0749868817	0.959498346323	541.694230482
1e6	run69	300.049348717	20.0520083467	0.89145982324	533.104970541
1e6	run70	299.954511996	20.056696942	1.01642445349	553.098106495
1e6	run71	299.869122612	19.9073470443	1.12705130953	550.925644531
1e6	run72	300.018527457	19.9436550976	0.974309670913	532.995317028
1e6	run73	300.11006393	20.0585258539	1.04557186055	557.005458896
1e6	run74	300.081764987	20.0169672905	0.683384138515	526.797775605
1e6	run75	300.178071671	20.0775001304	0.962606398388	544.725385674
1e6	run76	300.011350942	20.0982334384	0.894241757148	530.539606112
1e6	run77	300.071232703	20.0282594185	0.930958021496	524.382114638
1e6	run78	300.158288015	20.1203596758	0.885108316146	552.92638893
1e6	run79	300.221637505	20.1928675236	0.896286477973	553.697160367
1e6	run80	300.056577724	20.0386218433	0.982215047882	543.892879558
1e6	run81	299.828701557	19.9930534143	1.12225235644	545.507712058
1e6	run82	299.84166881	20.1951590453	0.969611210796	562.50822193
1e6	run83	299.896134939	19.968050905	1.07877584018	534.226325265
1e6	run84	300.158664386	20.2443478609	1.0300384472	555.781320771
1e6	run85	300.021640989	20.0348011764	1.02395632281	552.657432824
1e6	run86	300.066103788	19.9129024311	1.04112697465	542.141349594
1e6	run87	299.95740385	19.9536031143	0.876519767763	545.826197002
1e6	run88	300.049046697	20.0559888174	1.09356409448	537.199136184
1e6	run89	300.06564752	19.9640896793	1.12262619903	547.481902499
1e6	run90	300.278884973	19.9790222654	0.872107556479	533.275847643
1e6	run91	300.04720543	19.9422262817	0.969107899053	533.348762696
1e6	run92	300.012358333	20.0238746352	0.798479619771	524.832809382
1e6	run93	300.125898515	20.0407979921	0.964054449351	532.827024109
1e6	run94	299.995264751	20.0997421334	0.801178371195	544.834140386
1e6	run95	300.025738743	20.0316275707	0.984525075214	532.588390522
1e6	run96	300.115854605	20.1734186065	0.924751318429	551.837014284
1e6	run97	300.132006969	20.0252578774	0.714655293733	535.230544647
1e6	run98	300.154180108	19.9797901772	1.05786842764	564.075004242
1e6	run99	299.953976062	19.8988670251	1.11270714053	556.831373081
1e6	run100	300.216956145	19.8930444387	0.980598651921	539.48540812
3e6	run51	299.968512356	19.9684251314	3.04511734574	546.793162172
3e6	run52	300.010936201	20.0195486618	3.04845660112	542.650934895
3e6	run53	299.928294116	20.14013269	3.1017228732	553.331141626
3e6	run54	300.119128791	20.0567295002	2.98912922362	529.7939283
3e6	run55	300.070807076	20.1282758319	2.87428812745	551.377454103
3e6	run56	299.914475367	20.0321252731	2.90227799468	535.88847185
3e6	run57	300.110809948	20.1430159655	3.11119397554	552.766374281
3e6	run58	300.125209157	20.062480777	3.02391138394	574.390440025
3e6	run59	299.860651161	20.0088112926	3.11776848718	556.586037784
3e6	run60	300.106328234	20.0393700985	3.08159785227	558.829959144
3e6	run61	300.036598027	20.0470736938	2.90487722599	549.664147933
3e6	run62	300.177132086	20.0775615451	2.90657184454	550.97647248
3e6	run63	300.142550558	20.161000481	2.88522880923	566.417263158
3e6	run64	299.892397831	19.9627312564	2.95816749069	550.082354826
3e6	run65	300.00246497	19.8533434429	3.14524885999	541.328715647
3e6	run66	300.109789064	20.0521904245	2.86507632928	559.798517761
3e6	run67	300.065242689	20.0656054061	2.90847753111	532.305240888
3e6	run68	300.206184698	19.968743549	2.82481122426	545.290085778
3e6	run69	300.131931756	20.4147084631	2.92402391043	573.634619247
3e6	run70	299.975067029	19.9743946566	3.05842050063	527.789172657
3e6	run71	299.999467128	19.9804325479	3.01296471584	561.695144294
3e6	run72	300.160025556	19.9080974372	3.04147889647	550.046837763
3e6	run73	300.236780501	20.0040742275	2.93579105228	540.765952925
3e6	run74	299.922079313	20.1564138405	2.8928192292	541.586243473
3e6	run75	299.989868101	19.8759092251	2.90766022655	526.839541892
3e6	run76	299.918402565	20.1257093093	2.98265940517	555.297695067
3e6	run77	300.201626498	20.0341266415	2.88554048518	558.931266774
3e6	run78	300.15687067	19.9660959699	2.88681642275	527.077476048
3e6	run79	300.137935635	20.2136413137	2.88771330998	549.214398763
3e6	run80	300.095387632	20.0394933741	2.79115154722	531.637879519
3e6	run81	300.072298949	20.0546777342	2.95483568129	539.764159805
3e6	run82	300.119392531	19.9382641336	2.81169997345	534.118922214
3e6	run83	300.047951823	20.0399340233	3.001114789	544.484356234
3e6	run84	300.232175026	20.0934702962	2.86225440362	528.606475868
3e6	run85	300.032860731	20.0816017011	2.98313231845	540.485894854
3e6	run86	300.103562215	19.9792183231	2.93504767626	533.293132174
3e6	run87	300.217232908	20.2278100824	2.93838914243	542.256808047
3e6	run88	299.932934518	20.0676284268	3.07014026818	545.56551472
3e6	run89	300.168316216	19.9481555167	2.82048983532	539.673761228
3e6	run90	300.118524847	19.9695847944	2.96655561876	530.304623284
3e6	run91	300.104996657	19.8827779965	2.9100555115	539.269648195
3e6	run92	299.981961763	20.1220419378	3.07351500705	536.24025806
3e6	run93	300.02440587	20.025318548	2.93494503634	561.044416215
3e6	run94	300.171138837	19.9962935044	2.89959389522	528.83777341
3e6	run95	300.183372941	20.2251405019	2.87779088547	526.133871502
3e6	run96	299.94362674	19.9957003674	3.18733336211	565.025847063
3e6	run97	300.085822889	20.1411828155	2.98245411469	534.273125729
3e6	run98	299.961274073	19.9782251699	3.0146121827	526.49514444
3e6	run99	300.063065931	19.9665340187	2.83998207614	544.437445947
3e6	run100	300.201125667	20.1309637226	2.93911617726	567.070934558
1e7	run51	300.15213978	20.041856831	10.0673432806	544.61913645
1e7	run52	299.970522459	20.0584733119	10.1969311736	549.786640984
1e7	run53	300.211864082	19.9633290887	9.87173046432	533.545297337
1e7	run54	299.824477392	20.1114280476	9.92612808764	548.172030317
1e7	run55	300.251157848	20.3172988306	9.8084174452	543.368390996
1e7	run56	300.104357354	20.143780295	9.82991881113	538.05177608
1e7	run57	300.216030176	19.9346425182	9.75590865846	544.529299899
1e7	run58	300.098318188	20.0950702517	9.97852154169	546.217049098
1e7	run59	300.103518963	20.0580204403	10.0355134842	553.724690742
1e7	run60	299.967044326	20.2265197675	9.99007251444	548.292951707
1e7	run61	299.948975207	20.240012246	9.80221804917	534.642373593
1e7	run62	300.128276888	20.015248289	9.87036911717	535.812048477
1e7	run63	300.152557956	20.1577037754	9.84699946867	537.966866266
1e7	run64	300.265697577	20.1025485434	9.81929872092	522.332272004
1e7	run65	300.138289875	20.0306178323	10.0350326019	554.346136398
1e7	run66	300.22426411	20.3275518313	9.86239413762	552.899673788
1e7	run67	300.026622943	20.0523701849	9.91307008403	542.247388789
1e7	run68	300.067685675	20.0026115321	9.95628826817	528.368932617
1e7	run69	299.980547575	19.8909426736	10.0339481875	568.12951806
1e7	run70	299.894989213	19.9728559262	9.94502993597	527.65563408
1e7	run71	300.08846614	20.0237574352	9.97069018941	553.433900219
1e7	run72	300.215537965	20.3025165547	9.90331002903	562.215091094
1e7	run73	299.977469993	20.0570412916	9.81968056996	545.763418407
1e7	run74	299.973790452	19.990305356	9.92135122475	556.283310529
1e7	run75	300.202011748	20.1554886214	9.85771107581	549.296382768
1e7	run76	299.985910128	20.0175820097	9.99019705272	549.549769671
1e7	run77	300.290347937	20.1390106265	9.89113283894	523.21904174
1e7	run78	300.236786875	19.9678376832	9.90921813434	534.354895482
1e7	run79	300.063064754	20.1292136247	10.0111956015	548.452402199
1e7	run80	300.094926103	19.9013934582	9.95219007465	534.482311575
1e7	run81	300.176671628	19.9458484783	9.85619685346	541.823591872
1e7	run82	300.112602237	20.0619614373	9.96183533292	554.065027854
1e7	run83	300.133313178	19.9930943543	9.926140101	530.508969298
1e7	run84	300.110311475	20.0643544296	9.92923951424	540.640807462
1e7	run85	300.115408958	20.0014017435	9.92352457225	542.321297609
1e7	run86	299.910817224	19.99240795	10.0074395891	554.972415541
1e7	run87	300.234445492	20.1856394216	9.80048626824	536.081825602
1e7	run88	300.002882322	19.9832747292	9.90082403245	545.862108165
1e7	run89	300.139874828	19.9517952084	9.98016071749	556.534845116
1e7	run90	300.133194611	20.0575841199	9.93528481537	546.859748973
1e7	run91	299.951400225	19.9939458513	9.99025998457	543.180150597
1e7	run92	300.087776183	20.196870807	9.83242849633	525.44867586
1e7	run93	300.091580329	20.1365359738	9.97386822045	529.0391152
1e7	run94	300.288917665	19.9731348628	9.76683659991	537.657068438
1e7	run95	299.987065091	20.0693708848	9.94765421118	554.336568959
1e7	run96	300.334813673	20.1246092556	9.82952158727	541.950381412
1e7	run97	300.091284006	20.1622664229	9.80980513287	538.345611572
1e7	run98	300.014112035	19.9741576209	9.97860008245	558.668208894
1e7	run99	300.136412103	20.3188431158	9.96165417296	556.406184899
1e7	run100	300.226872865	20.1216237649	9.98723026419	544.506848275
3e7	run51	300.074883396	20.2965025794	29.8013246425	541.931656235
3e7	run52	299.96183176	20.0068986052	29.8796287936	538.305557887
3e7	run53	299.963414609	20.0237423227	29.9409820753	540.893307815
3e7	run54	300.160013952	20.0966334982	29.9382008645	541.814609467
3e7	run55	299.741685853	20.2787093557	30.1711421169	562.994068234
3e7	run56	300.032023009	20.0723283475	30.0503139265	562.315108647
3e7	run57	300.023866998	19.975640697	30.1183312446	562.897042345
3e7	run58	299.895572108	20.0047271536	30.0451412404	551.841694214
3e7	run59	299.78912392	19.9756173198	30.0893769088	566.955420726
3e7	run60	300.00597941	19.9923970703	29.8418798715	554.138512416
3e7	run61	300.145908403	19.9147409563	29.9316137334	546.204189079
3e7	run62	300.046857253	20.057014892	29.9294917577	536.014454842
3e7	run63	300.113363262	20.0066705745	29.9730264902	534.428927908
3e7	run64	300.105120247	20.0976991453	29.8805477952	540.140627054
3e7	run65	299.894670651	19.9349616279	29.9346425576	535.248475662
3e7	run66	300.014131554	20.2396517551	29.8498032478	555.191396661
3e7	run67	299.95497694	19.9593262759	29.9990997871	557.25591454
3e7	run68	299.833016621	19.8915897723	29.9694629213	540.377000963
3e7	run69	299.920477328	19.9692903373	30.0447960674	558.805666649
