14,15,16,17,218,219
18,20,154,644,677,1573
19,2066,2073,2076,2200,2996
180,213,482,484,618,1109
181,1108,1141,1410,1412,1546
182,2067,2070,2071,2072,2665
210,217,220,344,1140,1875
211,214,215,216,809,2038
212,1138,1145,1148,1272,2803
345,675,678,679,680,2502
478,479,480,481,682,683
483,2530,2537,2540,2664,3460
645,946,948,1082,1572,1605
646,2201,2531,2534,2535,2536
674,681,684,808,1604,2339
676,1602,1609,1612,1736,3267
942,943,944,945,1146,1147
947,2068,2994,3001,3004,3128
1110,2995,2998,2999,3000,3593
1139,1142,1143,1144,1737,2966
1273,1603,1606,1607,1608,3430
1406,1407,1408,1409,1610,1611
1411,2532,3458,3465,3468,3592
1574,3129,3459,3462,3463,3464
1870,1871,1872,1873,2074,2075
1874,1876,2010,2500,2533,3429
2036,2069,2338,2340,2474,2965
2037,2964,2997,3266,3268,3402
2334,2335,2336,2337,2538,2539
2501,2802,2804,2938,3428,3461
2798,2799,2800,2801,3002,3003
3262,3263,3264,3265,3466,3467
