layer,nr,cvs,kappas,type
1,0,-2.25000000*-2.25000000,1.60000000e+01*1.60000000e+01,node
1,1,-2.25000000*-0.75000000,4.00000000e+00*4.00000000e+00,node
1,2,-2.25000000*0.75000000,4.00000000e+00*4.00000000e+00,node
1,3,-1.50000000*-2.25000000,8.00000000e+00*8.00000000e+00,node
1,4,-1.50000000*-0.75000000,1.00000000e+00*1.00000000e+00,node
1,5,-1.50000000*0.75000000,2.00000000e+00*2.00000000e+00,node
1,6,-0.75000000*-2.25000000,4.00000000e+00*4.00000000e+00,node
1,7,-0.75000000*-1.50000000,1.00000000e+00*1.00000000e+00,node
1,8,-0.75000000*-0.75000000,2.00000000e+00*2.00000000e+00,node
1,9,-0.75000000*0.00000000,2.00000000e+00*2.00000000e+00,node
1,10,-0.75000000*0.75000000,1.00000000e+00*1.00000000e+00,node
1,11,-0.75000000*1.50000000,1.00000000e+00*1.00000000e+00,node
1,12,-0.75000000*2.25000000,4.00000000e+00*4.00000000e+00,node
1,13,0.00000000*-0.75000000,4.00000000e+00*4.00000000e+00,node
1,14,0.00000000*0.75000000,4.00000000e+00*4.00000000e+00,node
1,15,0.00000000*2.25000000,1.00000000e+00*1.00000000e+00,node
1,16,0.75000000*-2.25000000,4.00000000e+00*4.00000000e+00,node
1,17,0.75000000*-1.50000000,2.00000000e+00*2.00000000e+00,node
1,18,0.75000000*-0.75000000,8.00000000e+00*8.00000000e+00,node
1,19,0.75000000*0.00000000,2.00000000e+00*2.00000000e+00,node
1,20,0.75000000*0.75000000,8.00000000e+00*8.00000000e+00,node
1,21,0.75000000*1.50000000,4.00000000e+00*4.00000000e+00,node
1,22,0.75000000*2.25000000,8.00000000e+00*8.00000000e+00,node
1,23,1.50000000*0.75000000,4.00000000e+00*4.00000000e+00,node
1,24,2.25000000*0.75000000,4.00000000e+00*4.00000000e+00,node
1,25,-1.50000000*-3.00000000,4.00000000e+00*4.00000000e+00,realized_benchmark_node
1,26,-1.50000000*-1.50000000,2.00000000e+00*2.00000000e+00,realized_benchmark_node
1,27,-1.50000000*0.00000000,2.00000000e+00*2.00000000e+00,realized_benchmark_node
1,28,-1.50000000*1.50000000,4.00000000e+00*4.00000000e+00,realized_benchmark_node
1,29,0.00000000*0.00000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,30,0.00000000*3.00000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,31,1.50000000*-1.50000000,4.00000000e+00*4.00000000e+00,realized_benchmark_node
1,32,1.50000000*1.50000000,4.00000000e+00*4.00000000e+00,realized_benchmark_node
1,33,-12.75000000*-6.75000000,4.00000000e+00*4.00000000e+00,node
1,34,-12.75000000*-6.00000000,8.00000000e+00*8.00000000e+00,node
1,35,-12.75000000*-5.25000000,1.60000000e+01*1.60000000e+01,node
1,36,-12.00000000*-6.75000000,4.00000000e+00*4.00000000e+00,node
1,37,-12.00000000*-5.25000000,8.00000000e+00*8.00000000e+00,node
1,38,-11.25000000*-6.75000000,1.60000000e+01*1.60000000e+01,node
1,39,-11.25000000*-5.25000000,8.00000000e+00*8.00000000e+00,node
1,40,-11.25000000*3.75000000,8.00000000e+00*8.00000000e+00,node
1,41,-11.25000000*4.50000000,8.00000000e+00*8.00000000e+00,node
1,42,-11.25000000*5.25000000,4.00000000e+00*4.00000000e+00,node
1,43,-9.75000000*9.75000000,8.00000000e+00*8.00000000e+00,node
1,44,-9.75000000*10.50000000,8.00000000e+00*8.00000000e+00,node
1,45,-9.75000000*11.25000000,8.00000000e+00*8.00000000e+00,node
1,46,-3.75000000*-0.75000000,3.20000000e+01*3.20000000e+01,node
1,47,-3.00000000*-0.75000000,1.60000000e+01*1.60000000e+01,node
1,48,-2.25000000*-1.50000000,8.00000000e+00*8.00000000e+00,node
1,49,-2.25000000*0.00000000,4.00000000e+00*4.00000000e+00,node
1,50,-2.25000000*2.25000000,1.60000000e+01*1.60000000e+01,node
1,51,-1.50000000*2.25000000,1.00000000e+00*1.00000000e+00,node
1,52,-0.75000000*3.00000000,1.60000000e+01*1.60000000e+01,node
1,53,-0.75000000*3.75000000,8.00000000e+00*8.00000000e+00,node
1,54,0.00000000*-2.25000000,4.00000000e+00*4.00000000e+00,node
1,55,0.75000000*-12.75000000,8.00000000e+00*8.00000000e+00,node
1,56,0.75000000*-11.25000000,4.00000000e+00*4.00000000e+00,node
1,57,0.75000000*11.25000000,8.00000000e+00*8.00000000e+00,node
1,58,1.50000000*-12.75000000,8.00000000e+00*8.00000000e+00,node
1,59,1.50000000*-11.25000000,8.00000000e+00*8.00000000e+00,node
1,60,1.50000000*11.25000000,4.00000000e+00*4.00000000e+00,node
1,61,2.25000000*-12.75000000,8.00000000e+00*8.00000000e+00,node
1,62,2.25000000*-12.00000000,4.00000000e+00*4.00000000e+00,node
1,63,2.25000000*-11.25000000,8.00000000e+00*8.00000000e+00,node
1,64,2.25000000*-0.75000000,4.00000000e+00*4.00000000e+00,node
1,65,2.25000000*0.00000000,4.00000000e+00*4.00000000e+00,node
