layer,nr,cvs,kappas,type
0,84,-6.00000000*7.50000000,8.00000000e+00*8.00000000e+00,node
0,85,-6.00000000*9.00000000,4.00000000e+00*4.00000000e+00,node
0,86,-6.00000000*10.50000000,8.00000000e+00*8.00000000e+00,node
0,87,-6.00000000*12.00000000,4.00000000e+00*4.00000000e+00,node
0,88,-6.00000000*13.50000000,4.00000000e+00*4.00000000e+00,node
0,89,-4.50000000*-15.00000000,4.00000000e+00*4.00000000e+00,node
0,90,-4.50000000*-13.50000000,4.00000000e+00*4.00000000e+00,node
0,91,-4.50000000*-12.00000000,4.00000000e+00*4.00000000e+00,node
0,92,-4.50000000*-10.50000000,4.00000000e+00*4.00000000e+00,node
0,93,-4.50000000*-9.00000000,4.00000000e+00*4.00000000e+00,node
0,94,-4.50000000*-7.50000000,8.00000000e+00*8.00000000e+00,node
0,95,-4.50000000*-6.00000000,4.00000000e+00*4.00000000e+00,node
0,96,-4.50000000*-4.50000000,8.00000000e+00*8.00000000e+00,node
0,97,-4.50000000*-3.00000000,8.00000000e+00*8.00000000e+00,node
0,98,-4.50000000*-1.50000000,1.60000000e+01*1.60000000e+01,node
0,99,-4.50000000*0.00000000,8.00000000e+00*8.00000000e+00,node
0,100,-4.50000000*1.50000000,8.00000000e+00*8.00000000e+00,node
0,101,-4.50000000*3.00000000,4.00000000e+00*4.00000000e+00,node
0,102,-4.50000000*4.50000000,8.00000000e+00*8.00000000e+00,node
0,103,-4.50000000*6.00000000,8.00000000e+00*8.00000000e+00,node
0,104,-4.50000000*7.50000000,8.00000000e+00*8.00000000e+00,node
0,105,-4.50000000*9.00000000,4.00000000e+00*4.00000000e+00,node
0,106,-4.50000000*10.50000000,4.00000000e+00*4.00000000e+00,node
0,107,-4.50000000*12.00000000,4.00000000e+00*4.00000000e+00,node
0,108,-4.50000000*13.50000000,4.00000000e+00*4.00000000e+00,node
0,109,-3.00000000*-15.00000000,4.00000000e+00*4.00000000e+00,node
0,110,-3.00000000*-13.50000000,4.00000000e+00*4.00000000e+00,node
0,111,-3.00000000*-12.00000000,4.00000000e+00*4.00000000e+00,node
