-1.647355769e+01	-1.647355769e+01	nan
-1.647355769e+01	-1.642067308e+01	nan
-1.647355769e+01	-1.636778846e+01	nan
-1.647355769e+01	-1.631490385e+01	nan
-1.647355769e+01	-1.626201923e+01	nan
-1.647355769e+01	-1.620913462e+01	nan
-1.647355769e+01	-1.615625000e+01	nan
-1.647355769e+01	-1.610336538e+01	nan
-1.647355769e+01	-1.605048077e+01	nan
-1.647355769e+01	-1.599759615e+01	nan
-1.647355769e+01	-1.594471154e+01	nan
-1.647355769e+01	-1.589182692e+01	nan
-1.647355769e+01	-1.583894231e+01	nan
-1.647355769e+01	-1.578605769e+01	nan
-1.647355769e+01	-1.573317308e+01	nan
-1.647355769e+01	-1.568028846e+01	nan
-1.647355769e+01	-1.562740385e+01	nan
-1.647355769e+01	-1.557451923e+01	nan
-1.647355769e+01	-1.552163462e+01	nan
-1.647355769e+01	-1.546875000e+01	nan
-1.647355769e+01	-1.541586538e+01	nan
-1.647355769e+01	-1.536298077e+01	nan
-1.647355769e+01	-1.531009615e+01	nan
-1.647355769e+01	-1.525721154e+01	nan
-1.647355769e+01	-1.520432692e+01	nan
-1.647355769e+01	-1.515144231e+01	nan
-1.647355769e+01	-1.509855769e+01	nan
-1.647355769e+01	-1.504567308e+01	nan
-1.647355769e+01	-1.499278846e+01	nan
-1.647355769e+01	-1.493990385e+01	nan
-1.647355769e+01	-1.488701923e+01	nan
-1.647355769e+01	-1.483413462e+01	nan
-1.647355769e+01	-1.478125000e+01	nan
-1.647355769e+01	-1.472836538e+01	nan
-1.647355769e+01	-1.467548077e+01	nan
-1.647355769e+01	-1.462259615e+01	nan
-1.647355769e+01	-1.456971154e+01	nan
-1.647355769e+01	-1.451682692e+01	nan
-1.647355769e+01	-1.446394231e+01	nan
-1.647355769e+01	-1.441105769e+01	nan
-1.647355769e+01	-1.435817308e+01	nan
-1.647355769e+01	-1.430528846e+01	nan
-1.647355769e+01	-1.425240385e+01	nan
-1.647355769e+01	-1.419951923e+01	nan
-1.647355769e+01	-1.414663462e+01	nan
-1.647355769e+01	-1.409375000e+01	nan
-1.647355769e+01	-1.404086538e+01	nan
-1.647355769e+01	-1.398798077e+01	nan
-1.647355769e+01	-1.393509615e+01	nan
-1.647355769e+01	-1.388221154e+01	nan
-1.647355769e+01	-1.382932692e+01	nan
-1.647355769e+01	-1.377644231e+01	nan
-1.647355769e+01	-1.372355769e+01	nan
-1.647355769e+01	-1.367067308e+01	nan
-1.647355769e+01	-1.361778846e+01	nan
-1.647355769e+01	-1.356490385e+01	nan
-1.647355769e+01	-1.351201923e+01	nan
-1.647355769e+01	-1.345913462e+01	nan
