1450.00000002	1102.00143043
1460.00000002	997.206003675
1470.00000001	888.190294321
1480.00000002	796.963992287
1490.00000002	716.205031583
1500.00000002	623.342605824
1510.00000002	556.997878762
1520.00000001	488.37613934
1530.00000002	424.243810039
1540.00000001	369.375389292
1550.00000002	323.540147531
1560.00000002	254.896276656
1570.00000002	224.762584487
1580.00000002	185.788172441
1590.00000003	146.650169236
1600.00000002	109.543690704
1610.00000001	83.0539261062
1620.00000002	52.630059822
1630.00000003	25.1303571252
1640.00000002	6.19915076161
1650.00000001	-15.6470748324
1660.00000003	-44.3271055915
1670.00000002	-58.9099286236
1680.00000001	-66.2065553222
1690.00000001	-87.9969176461
1700.00000002	-107.954113714
1710.00000003	-117.388925896
1720.00000001	-125.698665125
1730.0	-141.454167988
1740.00000002	-140.485971302
1750.0	-144.901326594
1760.00000003	-152.74182745
1770.00000002	-161.919694906
1780.00000002	-165.073179183
1790.00000001	-163.683055075
1800.00000001	-170.686052732
1810.00000001	-177.449137747
1820.00000002	-176.954515212
1830.00000002	-178.008218481
1840.00000002	-176.392864406
1850.00000002	-178.869851329
1860.00000003	-180.992398486
1870.00000002	-184.657857117
1880.00000002	-183.630148223
1890.00000003	-180.949148032
1900.00000004	-179.736939894
1910.00000002	-184.733054692
1920.00000003	-177.449504359
1930.00000003	-173.031072701
1940.00000002	-176.728389476
1950.00000002	-174.609756851
1960.00000002	-172.390393791
1970.00000003	-170.912412917
1980.00000001	-169.727245787
1990.00000003	-170.733527895
2000.00000001	-162.779178648
2010.00000004	-160.892504419
2020.00000004	-157.910939956
2030.00000004	-158.382941496
2040.00000002	-152.422905045
2050.00000004	-150.241025512
2060.00000003	-143.268204578
2070.00000002	-142.143586934
2080.00000001	-139.968571178
2090.00000001	-133.849064865
2100.00000004	-136.605864766
2110.00000004	-131.049347431
2120.00000003	-129.094265703
2130.00000003	-124.089597031
2140.00000001	-117.734300523
2150.00000003	-113.108934514
2160.00000004	-111.279330161
2170.00000003	-112.076338568
2180.00000003	-109.102056751
2190.00000002	-101.696238211
2200.00000002	-99.1732033452
2210.00000003	-92.633412944
2220.00000003	-93.1225567017
2230.00000002	-88.479340619
2240.00000004	-86.1978263644
2250.00000002	-78.9113986639
2260.00000004	-77.8029128507
2270.00000003	-71.9022465382
2280.00000002	-70.2047721076
2290.00000003	-61.7964117914
2300.00000004	-61.7498622544
2310.00000003	-58.9973547023
2320.00000003	-55.2809977313
2330.00000004	-52.4117811341
2340.00000005	-47.8580418416
2350.00000004	-51.3540654029
2360.00000003	-45.4475875645
2370.00000001	-43.476677178
2380.00000003	-38.4205193401
2390.00000003	-33.9630229199
2400.00000003	-34.7488359857
2410.00000004	-33.8989879208
2420.00000003	-30.6711689249
2430.00000004	-29.3213884491
2440.00000001	-26.6189882659
2450.00000005	-24.059301733
2460.00000004	-21.1304670728
2470.00000002	-22.6962771263
2480.00000002	-20.6407480407
2490.00000003	-14.2214024195
2500.00000003	-12.553214611
2510.00000003	-9.10828623025
2520.00000005	-12.1056999828
2530.00000004	-5.34506772039
2540.00000004	-3.79921680136
2550.00000002	-6.60488032519
2560.00000004	5.14294057289
2570.00000002	5.14377080194
2580.00000003	7.55233689346
2590.00000001	10.1541404914
2600.00000004	12.1151757872
2610.00000003	16.1263442086
2620.00000003	14.570104079
2630.00000004	20.8148724185
2640.00000002	20.5057874554
2650.00000004	25.5387177324
2660.00000004	28.3616979953
2670.00000004	21.9549363185
2680.00000002	27.325161172
2690.00000004	31.8160406086
2700.00000003	29.933516256
2710.00000002	31.7437860184
2720.00000004	27.2715974622
2730.00000004	25.6527972039
2740.00000005	24.8317564148
2750.00000003	24.4784645131
2760.00000001	25.1476672552
2770.00000002	21.8897455488
2780.00000001	23.1179328726
2790.00000004	22.2281703921
2800.00000003	19.1871695371
2810.00000003	22.2098819113
2820.00000003	12.3574965388
2830.00000003	19.8211141748
2840.00000001	19.7364693369
2850.00000003	15.251159667
2860.00000005	12.4294779206
2870.00000006	8.80334572424
2880.00000003	16.4151557231
2890.00000002	5.53450881461
2900.00000003	-4.67345663084
2910.00000002	-3.19898772385
2920.00000005	-7.52537912686
2930.00000003	-31.3445533568
2940.00000004	-33.2163661424
2950.00000005	-40.3965391619
2960.00000003	-60.345641848
2970.00000002	-72.9406927546
2980.00000003	-96.697101556
2990.00000003	-109.449243582
3000.00000008	-143.66672583
3010.00000003	-166.438052149
3020.00000006	-189.60261822
3030.0	-222.461432066
3040.00000003	-277.576742227
3050.00000007	-307.393299579
3060.0	-364.846796007
3069.99999999	-410.083272799
