layer,nr,cvs,kappas,type
0,84,-15.00000000*13.50000000,4.00000000e+00*4.00000000e+00,node
0,85,-15.00000000*15.00000000,8.00000000e+00*8.00000000e+00,node
0,86,-15.00000000*16.50000000,4.00000000e+00*4.00000000e+00,node
0,87,-15.00000000*18.00000000,2.00000000e+00*2.00000000e+00,node
0,88,-13.50000000*-16.50000000,8.00000000e+00*8.00000000e+00,node
0,89,-13.50000000*-15.00000000,2.00000000e+00*2.00000000e+00,node
0,90,-13.50000000*-13.50000000,4.00000000e+00*4.00000000e+00,node
0,91,-13.50000000*-12.00000000,4.00000000e+00*4.00000000e+00,node
0,92,-13.50000000*-10.50000000,4.00000000e+00*4.00000000e+00,node
0,93,-13.50000000*-9.00000000,4.00000000e+00*4.00000000e+00,node
0,94,-13.50000000*-7.50000000,8.00000000e+00*8.00000000e+00,node
0,95,-13.50000000*-6.00000000,2.00000000e+00*2.00000000e+00,node
0,96,-13.50000000*-4.50000000,2.00000000e+00*2.00000000e+00,node
0,97,-13.50000000*-3.00000000,2.00000000e+00*2.00000000e+00,node
0,98,-13.50000000*-1.50000000,8.00000000e+00*8.00000000e+00,node
0,99,-13.50000000*0.00000000,4.00000000e+00*4.00000000e+00,node
0,100,-13.50000000*1.50000000,4.00000000e+00*4.00000000e+00,node
0,101,-13.50000000*3.00000000,2.00000000e+00*2.00000000e+00,node
0,102,-13.50000000*4.50000000,2.00000000e+00*2.00000000e+00,node
0,103,-13.50000000*6.00000000,4.00000000e+00*4.00000000e+00,node
0,104,-13.50000000*7.50000000,8.00000000e+00*8.00000000e+00,node
0,105,-13.50000000*9.00000000,4.00000000e+00*4.00000000e+00,node
0,106,-13.50000000*10.50000000,4.00000000e+00*4.00000000e+00,node
0,107,-13.50000000*12.00000000,8.00000000e+00*8.00000000e+00,node
0,108,-13.50000000*13.50000000,1.60000000e+01*1.60000000e+01,node
0,109,-13.50000000*15.00000000,8.00000000e+00*8.00000000e+00,node
0,110,-13.50000000*16.50000000,1.60000000e+01*1.60000000e+01,node
0,111,-13.50000000*18.00000000,2.00000000e+00*2.00000000e+00,node
0,112,-12.00000000*-16.50000000,1.00000000e+00*1.00000000e+00,node
0,113,-12.00000000*-15.00000000,2.00000000e+00*2.00000000e+00,node
0,114,-12.00000000*-13.50000000,2.00000000e+00*2.00000000e+00,node
0,115,-12.00000000*-12.00000000,2.00000000e+00*2.00000000e+00,node
0,116,-12.00000000*-10.50000000,2.00000000e+00*2.00000000e+00,node
0,117,-12.00000000*-9.00000000,4.00000000e+00*4.00000000e+00,node
0,118,-12.00000000*-7.50000000,4.00000000e+00*4.00000000e+00,node
0,119,-12.00000000*-6.00000000,8.00000000e+00*8.00000000e+00,node
0,120,-12.00000000*-4.50000000,4.00000000e+00*4.00000000e+00,node
0,121,-12.00000000*-3.00000000,4.00000000e+00*4.00000000e+00,node
0,122,-12.00000000*-1.50000000,2.00000000e+00*2.00000000e+00,node
0,123,-12.00000000*0.00000000,2.00000000e+00*2.00000000e+00,node
0,124,-12.00000000*1.50000000,4.00000000e+00*4.00000000e+00,node
0,125,-12.00000000*3.00000000,4.00000000e+00*4.00000000e+00,node
0,126,-12.00000000*4.50000000,4.00000000e+00*4.00000000e+00,node
0,127,-12.00000000*6.00000000,4.00000000e+00*4.00000000e+00,node
