GEM:	NP NOT SUFFICIENTLY SAMPLED!

GEM:	NP NOT SUFFICIENTLY SAMPLED!

GEM:	NP NOT SUFFICIENTLY SAMPLED!

GEM:	NP NOT SUFFICIENTLY SAMPLED!

GEM:	NP NOT SUFFICIENTLY SAMPLED!

GEM:	NP NOT SUFFICIENTLY SAMPLED!

GEM:	NP NOT SUFFICIENTLY SAMPLED!

GEM:	NP NOT SUFFICIENTLY SAMPLED!

GEM:	NP NOT SUFFICIENTLY SAMPLED!

1:	1ps	Langevin	1e5	19.4818446137	6.51954862704	6.55011087047	89.9923914574	89.9959945239	96.1903405157	825.658501637
2:	1ps	Langevin	1e5	19.4815637889	6.51921758432	6.54586295181	90.037792193	90.0016284011	96.2159939599	825.038651822
3:	1ps	Langevin	1e5	19.4835005317	6.51975255656	6.54240958363	90.113099604	89.9771908268	96.1950795354	824.851871591
4:	1ps	Langevin	1e5	19.4823036336	6.51977124586	6.54786659883	89.9836202231	90.000220103	96.1872388094	825.423712082
5:	1ps	Langevin	1e5	19.4812545914	6.51936199445	6.54568484565	90.0235553458	89.9957438644	96.2067274538	825.045333463
6:	1ps	Langevin	1e5	19.4807263017	6.51929370061	6.54724066264	89.9707044971	90.0023901007	96.2078082827	825.249483886
7:	1ps	Langevin	1e5	19.4821471649	6.5195035978	6.55112094459	90.0237380139	89.9908976454	96.1931583282	825.865574377
8:	1ps	Langevin	1e5	19.4819688048	6.51984982013	6.54752315135	89.9853439506	89.9928498619	96.1830602283	825.398471751
9:	1ps	Langevin	1e5	19.4835387025	6.51955284452	6.54996746487	90.0621026011	90.0294057649	96.1833399862	825.744745196
10:	1ps	Langevin	1e5	19.481548759	6.51958481187	6.54800685111	89.9639539329	89.9828582012	96.1913888007	825.427727281
GEM:	1ps	Langevin	1e5	19.4820396892	6.51954367832	6.5475793925	90.0156301819	89.9969179293	96.19541359	825.370407309

1:	1ps	Langevin	3e5	19.4832577229	6.51957886361	6.54523990666	89.9315389568	89.9794274817	96.1883186361	825.187658479
2:	1ps	Langevin	3e5	19.4811096412	6.5193225268	6.54975905888	89.9680733074	90.0163431276	96.2026637686	825.591729217
3:	1ps	Langevin	3e5	19.4817537146	6.51957212145	6.54871952131	90.0253354874	89.9935842447	96.1988795412	825.483975288
4:	1ps	Langevin	3e5	19.4832610255	6.5197139799	6.54663619904	90.003714824	90.0094190419	96.1720435747	825.394547105
5:	1ps	Langevin	3e5	19.4823042854	6.51915757363	6.54484015129	89.8738810607	89.9522980709	96.2123988092	824.962102361
6:	1ps	Langevin	3e5	19.4827414073	6.51976544606	6.54296846546	90.1498266595	90.0423224537	96.1874101112	824.868107204
7:	1ps	Langevin	3e5	19.4814606383	6.51927894541	6.54735432841	90.0014122525	89.9983637905	96.2007134829	825.309584559
8:	1ps	Langevin	3e5	19.4827673489	6.51984061812	6.5441084918	89.9770614202	90.0087391815	96.1805317795	825.006063787
9:	1ps	Langevin	3e5	19.4818624368	6.51949105171	6.54685352137	90.0028850279	90.0038249319	96.2040728293	825.248982979
10:	1ps	Langevin	3e5	19.4808264667	6.51929715213	6.54684065369	89.9359049204	89.9871667523	96.2090735086	825.147147627
GEM:	1ps	Langevin	3e5	19.4821344688	6.51950182788	6.54633202979	89.9869633917	89.9991489077	96.1956106041	825.219989861

1:	1ps	Langevin	1e6	19.4826517621	6.51983695844	6.54418608359	90.0684689754	90.0189104733	96.1862863648	825.077156691
2:	1ps	Langevin	1e6	19.4814579227	6.51909527407	6.54463892534	90.0615043854	89.9781293693	96.2230706071	824.904185254
3:	1ps	Langevin	1e6	19.4826166271	6.51973623846	6.54094896524	89.974600009	90.0055700712	96.1986406293	824.614414548
4:	1ps	Langevin	1e6	19.4817588019	6.51973935396	6.54521474316	89.9400458176	89.983432238	96.1935800586	825.108127655
5:	1ps	Langevin	1e6	19.4801888566	6.51939171195	6.54570834811	89.9909537518	90.0079901647	96.2141981963	824.970809832
6:	1ps	Langevin	1e6	19.4808846644	6.51959462547	6.55063478255	89.9271750881	90.023227137	96.1805938792	825.697809221
7:	1ps	Langevin	1e6	19.4819756393	6.51934176882	6.54646274978	89.9760049906	90.0192917747	96.2035056261	825.207045493
8:	1ps	Langevin	1e6	19.4827328954	6.51957702253	6.54669031218	89.9303011676	90.0357520003	96.1810882007	825.238583699
9:	1ps	Langevin	1e6	19.4817724552	6.51909627095	6.54673798559	90.0506503708	90.0251501351	96.2164898393	825.208838437
10:	1ps	Langevin	1e6	19.4814769988	6.51897662218	6.55091210821	89.9629177192	90.014307542	96.2125674859	825.672332909
GEM:	1ps	Langevin	1e6	19.4817516623	6.51943858468	6.54621350037	89.9882622275	90.0111760906	96.2010020887	825.169930374

1:	1ps	Langevin	3e6	19.4806850061	6.51929332772	6.54380711509	90.0013242981	89.9890122668	96.2244524699	824.744760966
2:	1ps	Langevin	3e6	19.4811889555	6.5192818334	6.54566628366	90.1217508915	89.9318935466	96.1981483353	825.054014439
3:	1ps	Langevin	3e6	19.4815611624	6.51992805165	6.5393734406	90.1143373886	89.9703614094	96.1888217049	824.360637223
4:	1ps	Langevin	3e6	19.4829700903	6.51969478604	6.54206357274	89.9505527332	90.0285545588	96.1913237622	824.685360512
5:	1ps	Langevin	3e6	19.4824912849	6.51911374934	6.54556088471	90.0411000308	90.0025123378	96.2067125133	825.068668217
6:	1ps	Langevin	3e6	19.4802489532	6.51909974719	6.54688401152	89.9429692721	90.0123055218	96.2198251803	825.068146931
