#unit_cell_volume,density,AV_A3,AV_volumefraction,AV_cm3g
71201.2,1.1179,20080.2,0.28202,0.252276
71401.3,1.11477,20239.4,0.28346,0.254277
71601.4,1.11165,20362,0.28438,0.255817
71801.3,1.10856,20502.1,0.28554,0.257578
72001.2,1.10548,20668.7,0.28706,0.25967
72201.2,1.10242,20802.6,0.28812,0.261353
72401.1,1.09938,20970.3,0.28964,0.263459
72601.2,1.09635,21116.8,0.29086,0.2653
72801.2,1.09333,21241.9,0.29178,0.266872
73001.2,1.09034,21395.2,0.29308,0.268797
73201,1.08736,21550.4,0.2944,0.270747
73401.2,1.0844,21698.9,0.29562,0.272613
73601.1,1.08145,21858,0.29698,0.274612
73801,1.07852,21961.7,0.29758,0.275915
74001.1,1.07561,22110,0.29878,0.277778
74200.9,1.07271,22251.4,0.29988,0.279554
74400.9,1.06983,22405.1,0.30114,0.281485
74601.2,1.06695,22513.1,0.30178,0.282843
74801.1,1.0641,22654.3,0.30286,0.284616
75001,1.06127,22792.8,0.3039,0.286356
75201.2,1.05844,22915.3,0.30472,0.287895
75401,1.05563,23060.7,0.30584,0.289721
75601.1,1.05284,23206.5,0.30696,0.291554
75800.9,1.05007,23386.1,0.30852,0.29381
76001.1,1.0473,23505.6,0.30928,0.295312
76201,1.04455,23649.7,0.31036,0.297122
76400.9,1.04182,23805,0.31158,0.299073
76600.9,1.0391,23916.3,0.31222,0.300472
76801,1.03639,24044.9,0.31308,0.302086
77001,1.0337,24187.5,0.31412,0.303879
77201.1,1.03102,24332.2,0.31518,0.305697
77401,1.02836,24472.6,0.31618,0.307461
77601.1,1.02571,24622.8,0.3173,0.309348
77800.9,1.02307,24774.9,0.31844,0.311258
78001,1.02045,24918.2,0.31946,0.313059
78200.9,1.01784,25052.4,0.32036,0.314745
78400.9,1.01524,25193.3,0.32134,0.316515
