#unit_cell_volume,density,AV_A3,AV_volumefraction,AV_cm3g
70800.8,1.1554,18252.4,0.2578,0.223127
71000.8,1.15214,18413.3,0.25934,0.225094
71200.8,1.14891,18540.7,0.2604,0.226651
71400.7,1.14569,18691.3,0.26178,0.228492
71600.7,1.14249,18806.7,0.26266,0.229902
71800.8,1.1393,18955.4,0.264,0.23172
72000.7,1.13614,19075.9,0.26494,0.233193
72200.7,1.13299,19208.3,0.26604,0.234812
72400.7,1.12986,19357.1,0.26736,0.23663
72600.7,1.12675,19510.7,0.26874,0.238509
72800.7,1.12366,19663.5,0.2701,0.240376
73000.7,1.12058,19781.7,0.27098,0.241822
73200.7,1.11752,19912.1,0.27202,0.243415
73400.7,1.11447,20057.5,0.27326,0.245193
73600.7,1.11144,20171,0.27406,0.246581
73800.7,1.10843,20317.3,0.2753,0.248369
74000.6,1.10544,20467.1,0.27658,0.2502
74200.7,1.10246,20598.1,0.2776,0.251802
74400.7,1.09949,20725.1,0.27856,0.253354
74600.7,1.09654,20861.3,0.27964,0.255019
74800.7,1.09361,20996.6,0.2807,0.256672
75000.7,1.0907,21123.2,0.28164,0.25822
75200.7,1.08779,21260.7,0.28272,0.259902
75400.7,1.08491,21391.2,0.2837,0.261496
75600.7,1.08204,21525,0.28472,0.263133
75800.7,1.07918,21633.5,0.2854,0.264459
76000.7,1.07634,21783.3,0.28662,0.26629
76200.7,1.07352,21923,0.2877,0.267997
76400.6,1.07071,22038.5,0.28846,0.26941
76600.6,1.06791,22156,0.28924,0.270846
76800.7,1.06513,22321.3,0.29064,0.272867
77000.7,1.06237,22451.9,0.29158,0.274463
77200.7,1.05961,22571.9,0.29238,0.275931
77400.6,1.05688,22704.7,0.29334,0.277554
77600.7,1.05415,22853.4,0.2945,0.279371
77800.7,1.05144,22985.5,0.29544,0.280986
78000.7,1.04875,23105.4,0.29622,0.282451
78200.6,1.04606,23236.5,0.29714,0.284055
78400.7,1.04339,23365,0.29802,0.285625
