#unit_cell_volume,density,AV_A3,AV_volumefraction,AV_cm3g
48001.9,1.84209,295.692,0.00616,0.00334403
48201.9,1.83445,509.012,0.01056,0.0057565
48401.8,1.82687,323.324,0.00668,0.00365653
48601.7,1.81935,343.128,0.00706,0.0038805
48801.9,1.81189,646.137,0.01324,0.00730727
49001.7,1.8045,847.73,0.0173,0.00958712
49201.8,1.79716,1205.44,0.0245,0.0136326
49401.7,1.78989,1569,0.03176,0.0177441
49601.8,1.78267,1970.18,0.03972,0.0222812
49801.8,1.77551,2043.87,0.04104,0.0231144
50001.8,1.76841,2114.08,0.04228,0.0239085
50201.8,1.76137,2176.75,0.04336,0.0246172
50401.8,1.75438,2223.73,0.04412,0.0251485
50601.8,1.74744,2340.84,0.04626,0.026473
50801.8,1.74056,2385.65,0.04696,0.0269798
51005.8,1.7336,2566.61,0.05032,0.0290263
51205.2,1.72685,2537.73,0.04956,0.0286996
51401.7,1.72025,2614.29,0.05086,0.0295655
51601.8,1.71358,2697.74,0.05228,0.0305093
51801.8,1.70696,2766.21,0.0534,0.0312836
52001.8,1.7004,2789.38,0.05364,0.0315456
52202.1,1.69387,2509.88,0.04808,0.0283846
52401.6,1.68742,2570.82,0.04906,0.0290739
52601.7,1.68101,2654.28,0.05046,0.0300178
52801.5,1.67464,2739.34,0.05188,0.0309797
53001.6,1.66832,2811.2,0.05304,0.0317924
53201.6,1.66205,2903.74,0.05458,0.0328389
53401.6,1.65583,2971.27,0.05564,0.0336026
53601.6,1.64965,3073.52,0.05734,0.0347589
53801.7,1.64351,3154.93,0.05864,0.0356797
54001.6,1.63743,3249.82,0.06018,0.0367528
54201.5,1.63139,3348.57,0.06178,0.0378695
54401.5,1.62539,3433.82,0.06312,0.0388337
54601.5,1.61944,3527.26,0.0646,0.0398904
54801.5,1.61353,3611.42,0.0659,0.0408422
55001.6,1.60766,3715.91,0.06756,0.0420238
55201.5,1.60184,3839.81,0.06956,0.0434251
55401.4,1.59606,3939.04,0.0711,0.0445473
55601.4,1.59031,4041.11,0.07268,0.0457017
55801.4,1.58462,4141.58,0.07422,0.0468378
56001.6,1.57895,4252.76,0.07594,0.0480952
56201.4,1.57334,4366.85,0.0777,0.0493855
56401.4,1.56776,4466.99,0.0792,0.0505179
56601.4,1.56222,4598.3,0.08124,0.052003
56801.4,1.55672,4708.84,0.0829,0.053253
57201.4,1.54583,4954.79,0.08662,0.0560345
57401.3,1.54045,5045.58,0.0879,0.0570613
57601.4,1.5351,5170.3,0.08976,0.0584718
57801.3,1.52979,5296.91,0.09164,0.0599037
58001.4,1.52451,5401.09,0.09312,0.0610819
58201.4,1.51927,5501.19,0.09452,0.062214
58401.3,1.51407,5625.21,0.09632,0.0636165
58601.3,1.5089,5738.24,0.09792,0.0648948
58801.4,1.50377,5864.85,0.09974,0.0663266
59001.2,1.49868,5981.55,0.10138,0.0676464
59201.3,1.49361,6116.68,0.10332,0.0691746
59401.3,1.48858,6247.83,0.10518,0.0706578
59601.3,1.48359,6353.5,0.1066,0.0718528
59801.3,1.47863,6484.85,0.10844,0.0733383
60001.3,1.4737,6621.74,0.11036,0.0748864
60201.2,1.4688,6748.56,0.1121,0.0763206
60401.2,1.46394,6873.66,0.1138,0.0777354
60601.2,1.45911,7012.77,0.11572,0.0793087
60801.2,1.45431,7129.55,0.11726,0.0806293
61001.2,1.44954,7268.9,0.11916,0.0822053
61201.4,1.4448,7045.5,0.11512,0.0796788
61401.3,1.4401,7530.25,0.12264,0.0851609
61601.2,1.43542,7637.31,0.12398,0.0863717
61801.1,1.43078,7751.1,0.12542,0.0876585
62001.1,1.42616,7862.98,0.12682,0.0889238
62201.1,1.42158,8025.19,0.12902,0.0907582
62401.1,1.41702,8149.59,0.1306,0.0921651
