layer,nr,cvs,kappas,type
1,0,-2.25000000*-0.75000000,4.00000000e+00*4.00000000e+00,node
1,1,-2.25000000*0.75000000,4.00000000e+00*4.00000000e+00,node
1,2,-1.50000000*-0.75000000,1.00000000e+00*1.00000000e+00,node
1,3,-1.50000000*0.75000000,2.00000000e+00*2.00000000e+00,node
1,4,-0.75000000*-2.25000000,8.00000000e+00*8.00000000e+00,node
1,5,-0.75000000*-1.50000000,4.00000000e+00*4.00000000e+00,node
1,6,-0.75000000*-0.75000000,4.00000000e+00*4.00000000e+00,node
1,7,-0.75000000*0.00000000,8.00000000e+00*8.00000000e+00,node
1,8,-0.75000000*0.75000000,4.00000000e+00*4.00000000e+00,node
1,9,-0.75000000*1.50000000,2.00000000e+00*2.00000000e+00,node
1,10,-0.75000000*2.25000000,8.00000000e+00*8.00000000e+00,node
1,11,0.00000000*-2.25000000,4.00000000e+00*4.00000000e+00,node
1,12,0.00000000*-0.75000000,8.00000000e+00*8.00000000e+00,node
1,13,0.00000000*0.75000000,4.00000000e+00*4.00000000e+00,node
1,14,0.75000000*-2.25000000,4.00000000e+00*4.00000000e+00,node
1,15,0.75000000*-1.50000000,2.00000000e+00*2.00000000e+00,node
1,16,0.75000000*-0.75000000,4.00000000e+00*4.00000000e+00,node
1,17,0.75000000*0.00000000,8.00000000e+00*8.00000000e+00,node
1,18,0.75000000*0.75000000,2.00000000e+00*2.00000000e+00,node
1,19,0.75000000*1.50000000,1.00000000e+00*1.00000000e+00,node
1,20,0.75000000*2.25000000,2.00000000e+00*2.00000000e+00,node
1,21,1.50000000*-0.75000000,4.00000000e+00*4.00000000e+00,node
1,22,1.50000000*0.75000000,2.00000000e+00*2.00000000e+00,node
1,23,1.50000000*2.25000000,8.00000000e+00*8.00000000e+00,node
1,24,2.25000000*-0.75000000,8.00000000e+00*8.00000000e+00,node
1,25,2.25000000*0.75000000,4.00000000e+00*4.00000000e+00,node
1,26,2.25000000*2.25000000,3.20000000e+01*3.20000000e+01,node
