layer,nr,cvs,kappas,type
0,84,-13.50000000*7.50000000,4.00000000e+00*4.00000000e+00,node
0,85,-13.50000000*9.00000000,2.00000000e+00*2.00000000e+00,node
0,86,-13.50000000*10.50000000,3.20000000e+01*3.20000000e+01,node
0,87,-13.50000000*12.00000000,4.00000000e+00*4.00000000e+00,node
0,88,-13.50000000*13.50000000,2.00000000e+00*2.00000000e+00,node
0,89,-13.50000000*15.00000000,4.00000000e+00*4.00000000e+00,node
0,90,-12.00000000*-15.00000000,2.00000000e+00*2.00000000e+00,node
0,91,-12.00000000*-13.50000000,2.00000000e+00*2.00000000e+00,node
0,92,-12.00000000*-12.00000000,2.00000000e+00*2.00000000e+00,node
0,93,-12.00000000*-10.50000000,8.00000000e+00*8.00000000e+00,node
0,94,-12.00000000*-9.00000000,4.00000000e+00*4.00000000e+00,node
0,95,-12.00000000*-7.50000000,4.00000000e+00*4.00000000e+00,node
0,96,-12.00000000*-6.00000000,4.00000000e+00*4.00000000e+00,node
0,97,-12.00000000*-4.50000000,8.00000000e+00*8.00000000e+00,node
0,98,-12.00000000*-3.00000000,8.00000000e+00*8.00000000e+00,node
0,99,-12.00000000*-1.50000000,8.00000000e+00*8.00000000e+00,node
0,100,-12.00000000*0.00000000,8.00000000e+00*8.00000000e+00,node
0,101,-12.00000000*1.50000000,8.00000000e+00*8.00000000e+00,node
0,102,-12.00000000*3.00000000,8.00000000e+00*8.00000000e+00,node
0,103,-12.00000000*4.50000000,8.00000000e+00*8.00000000e+00,node
0,104,-12.00000000*6.00000000,4.00000000e+00*4.00000000e+00,node
0,105,-12.00000000*7.50000000,4.00000000e+00*4.00000000e+00,node
0,106,-12.00000000*9.00000000,4.00000000e+00*4.00000000e+00,node
0,107,-12.00000000*10.50000000,1.60000000e+01*1.60000000e+01,node
0,108,-12.00000000*12.00000000,4.00000000e+00*4.00000000e+00,node
0,109,-12.00000000*13.50000000,2.00000000e+00*2.00000000e+00,node
0,110,-12.00000000*15.00000000,4.00000000e+00*4.00000000e+00,node
0,111,-12.00000000*16.50000000,2.00000000e+00*2.00000000e+00,node
0,112,-10.50000000*-16.50000000,2.00000000e+00*2.00000000e+00,node
0,113,-10.50000000*-15.00000000,2.00000000e+00*2.00000000e+00,node
0,114,-10.50000000*-13.50000000,2.00000000e+00*2.00000000e+00,node
0,115,-10.50000000*-12.00000000,2.00000000e+00*2.00000000e+00,node
0,116,-10.50000000*-10.50000000,1.60000000e+01*1.60000000e+01,node
0,117,-10.50000000*-9.00000000,8.00000000e+00*8.00000000e+00,node
0,118,-10.50000000*-7.50000000,8.00000000e+00*8.00000000e+00,node
0,119,-10.50000000*-6.00000000,8.00000000e+00*8.00000000e+00,node
0,120,-10.50000000*-4.50000000,8.00000000e+00*8.00000000e+00,node
0,121,-10.50000000*-3.00000000,8.00000000e+00*8.00000000e+00,node
0,122,-10.50000000*-1.50000000,1.60000000e+01*1.60000000e+01,node
0,123,-10.50000000*0.00000000,1.60000000e+01*1.60000000e+01,node
0,124,-10.50000000*1.50000000,1.60000000e+01*1.60000000e+01,node
0,125,-10.50000000*3.00000000,8.00000000e+00*8.00000000e+00,node
0,126,-10.50000000*4.50000000,8.00000000e+00*8.00000000e+00,node
0,127,-10.50000000*6.00000000,8.00000000e+00*8.00000000e+00,node
0,128,-10.50000000*7.50000000,8.00000000e+00*8.00000000e+00,node
0,129,-10.50000000*9.00000000,8.00000000e+00*8.00000000e+00,node
0,130,-10.50000000*10.50000000,4.00000000e+00*4.00000000e+00,node
0,131,-10.50000000*12.00000000,4.00000000e+00*4.00000000e+00,node
0,132,-10.50000000*13.50000000,2.00000000e+00*2.00000000e+00,node
0,133,-10.50000000*15.00000000,4.00000000e+00*4.00000000e+00,node
0,134,-10.50000000*16.50000000,2.00000000e+00*2.00000000e+00,node
0,135,-9.00000000*-18.00000000,4.00000000e+00*4.00000000e+00,node
0,136,-9.00000000*-16.50000000,2.00000000e+00*2.00000000e+00,node
0,137,-9.00000000*-15.00000000,4.00000000e+00*4.00000000e+00,node
0,138,-9.00000000*-13.50000000,2.00000000e+00*2.00000000e+00,node
0,139,-9.00000000*-12.00000000,4.00000000e+00*4.00000000e+00,node
0,140,-9.00000000*-10.50000000,8.00000000e+00*8.00000000e+00,node
0,141,-9.00000000*-9.00000000,8.00000000e+00*8.00000000e+00,node
0,142,-9.00000000*-7.50000000,8.00000000e+00*8.00000000e+00,node
0,143,-9.00000000*-6.00000000,1.60000000e+01*1.60000000e+01,node
0,144,-9.00000000*-4.50000000,8.00000000e+00*8.00000000e+00,node
0,145,-9.00000000*-3.00000000,8.00000000e+00*8.00000000e+00,node
0,146,-9.00000000*-1.50000000,8.00000000e+00*8.00000000e+00,node
0,147,-9.00000000*0.00000000,8.00000000e+00*8.00000000e+00,node
0,148,-9.00000000*1.50000000,8.00000000e+00*8.00000000e+00,node
0,149,-9.00000000*3.00000000,8.00000000e+00*8.00000000e+00,node
0,150,-9.00000000*4.50000000,1.60000000e+01*1.60000000e+01,node
0,151,-9.00000000*6.00000000,1.60000000e+01*1.60000000e+01,node
0,152,-9.00000000*7.50000000,8.00000000e+00*8.00000000e+00,node
0,153,-9.00000000*9.00000000,8.00000000e+00*8.00000000e+00,node
0,154,-9.00000000*10.50000000,8.00000000e+00*8.00000000e+00,node
0,155,-9.00000000*12.00000000,4.00000000e+00*4.00000000e+00,node
0,156,-9.00000000*13.50000000,4.00000000e+00*4.00000000e+00,node
0,157,-9.00000000*15.00000000,4.00000000e+00*4.00000000e+00,node
0,158,-9.00000000*16.50000000,2.00000000e+00*2.00000000e+00,node
0,159,-9.00000000*18.00000000,4.00000000e+00*4.00000000e+00,node
0,160,-7.50000000*-19.50000000,2.00000000e+00*2.00000000e+00,node
0,161,-7.50000000*-18.00000000,2.00000000e+00*2.00000000e+00,node
0,162,-7.50000000*-16.50000000,8.00000000e+00*8.00000000e+00,node
0,163,-7.50000000*-15.00000000,4.00000000e+00*4.00000000e+00,node
