#unit_cell_volume,density,AV_A3,AV_volumefraction,AV_cm3g
70000.7,1.20013,16068,0.22954,0.191263
70200.7,1.19671,16192.5,0.23066,0.192745
70400.7,1.19331,16347,0.2322,0.194585
70600.7,1.18993,16486.7,0.23352,0.196247
70800.7,1.18657,16590,0.23432,0.197477
71000.7,1.18323,16739.1,0.23576,0.199252
71200.6,1.1799,16856,0.23674,0.200644
71400.7,1.1766,16996.2,0.23804,0.202312
71600.7,1.17331,17126.9,0.2392,0.203867
71800.6,1.17004,17246.5,0.2402,0.205292
72000.6,1.16679,17396.8,0.24162,0.20708
72200.6,1.16356,17491.3,0.24226,0.208206
72400.7,1.16035,17629.6,0.2435,0.209851
72600.7,1.15715,17759.6,0.24462,0.211399
72800.6,1.15397,17890,0.24574,0.212951
73000.6,1.15081,18019.5,0.24684,0.214492
73200.6,1.14767,18143.5,0.24786,0.215969
73400.6,1.14454,18281.2,0.24906,0.217607
73600.6,1.14143,18422.2,0.2503,0.219287
73800.6,1.13834,18554.9,0.25142,0.220866
74000.7,1.13526,18673.3,0.25234,0.222275
74200.6,1.1322,18789.1,0.25322,0.223653
74400.6,1.12916,18926,0.25438,0.225283
74600.6,1.12613,19036.6,0.25518,0.226599
74800.6,1.12312,19169.9,0.25628,0.228186
75000.7,1.12012,19299.2,0.25732,0.229725
75200.6,1.11714,19397.2,0.25794,0.230892
75400.6,1.11418,19539.3,0.25914,0.232583
75600.6,1.11123,19660.7,0.26006,0.234028
75800.6,1.1083,19790,0.26108,0.235568
76000.6,1.10538,19910.6,0.26198,0.237003
76200.6,1.10248,20022.5,0.26276,0.238335
76400.7,1.0996,20174.4,0.26406,0.240143
76600.7,1.09672,20270.1,0.26462,0.241282
76800.7,1.09387,20424.4,0.26594,0.243119
77000.7,1.09103,20531.5,0.26664,0.244393
77200.8,1.0882,20651.2,0.2675,0.245819
77400.6,1.08539,20789.8,0.2686,0.247469
77600.6,1.08259,20930.4,0.26972,0.249142
77800.7,1.07981,21056,0.27064,0.250637
78200.6,1.07429,21275.3,0.27206,0.253247
