0,11,14,19,22,1828
1,10,23,471,930,1829
2,6,9,17,20,468
3,7,8,13,21,928
4,1824,1835,1838,1843,1846
5,1825,1834,1847,2295,2754
12,458,462,465,473,476
15,457,466,479,1386,2285
16,915,919,920,925,933
18,913,922,935,1383,2741
456,467,470,475,478,2284
459,463,464,469,477,1384
460,2280,2291,2294,2299,2302
461,1839,2281,2290,2303,3210
472,1371,1375,1376,1381,1389
474,927,1369,1378,1391,3197
912,923,926,931,934,2740
914,918,921,929,932,1380
916,2736,2747,2750,2755,2758
917,1842,2737,2746,2759,3207
924,1370,1374,1377,1385,1388
1368,1379,1382,1387,1390,3196
1372,3192,3203,3206,3211,3214
1373,2298,2751,3193,3202,3215
1826,1830,1833,1841,1844,2292
1827,1831,1832,1837,1845,2752
1836,2282,2286,2289,2297,2300
1840,2739,2743,2744,2749,2757
2283,2287,2288,2293,2301,3208
2296,3195,3199,3200,3205,3213
2738,2742,2745,2753,2756,3204
2748,3194,3198,3201,3209,3212
