layer,nr,cvs,kappas,type
0,84,-9.00000000*-3.00000000,8.00000000e+00*8.00000000e+00,node
0,85,-9.00000000*-1.50000000,8.00000000e+00*8.00000000e+00,node
0,86,-9.00000000*0.00000000,8.00000000e+00*8.00000000e+00,node
0,87,-9.00000000*1.50000000,8.00000000e+00*8.00000000e+00,node
0,88,-9.00000000*3.00000000,8.00000000e+00*8.00000000e+00,node
0,89,-9.00000000*4.50000000,8.00000000e+00*8.00000000e+00,node
0,90,-9.00000000*6.00000000,8.00000000e+00*8.00000000e+00,node
0,91,-9.00000000*7.50000000,4.00000000e+00*4.00000000e+00,node
0,92,-9.00000000*9.00000000,4.00000000e+00*4.00000000e+00,node
0,93,-9.00000000*10.50000000,2.00000000e+00*2.00000000e+00,node
0,94,-9.00000000*12.00000000,8.00000000e+00*8.00000000e+00,node
0,95,-9.00000000*13.50000000,4.00000000e+00*4.00000000e+00,node
0,96,-7.50000000*-13.50000000,1.60000000e+01*1.60000000e+01,node
0,97,-7.50000000*-12.00000000,4.00000000e+00*4.00000000e+00,node
0,98,-7.50000000*-10.50000000,4.00000000e+00*4.00000000e+00,node
0,99,-7.50000000*-9.00000000,8.00000000e+00*8.00000000e+00,node
0,100,-7.50000000*-7.50000000,8.00000000e+00*8.00000000e+00,node
0,101,-7.50000000*-6.00000000,8.00000000e+00*8.00000000e+00,node
0,102,-7.50000000*-4.50000000,8.00000000e+00*8.00000000e+00,node
0,103,-7.50000000*-3.00000000,4.00000000e+00*4.00000000e+00,node
0,104,-7.50000000*-1.50000000,8.00000000e+00*8.00000000e+00,node
0,105,-7.50000000*0.00000000,8.00000000e+00*8.00000000e+00,node
0,106,-7.50000000*1.50000000,8.00000000e+00*8.00000000e+00,node
0,107,-7.50000000*3.00000000,8.00000000e+00*8.00000000e+00,node
0,108,-7.50000000*4.50000000,1.60000000e+01*1.60000000e+01,node
0,109,-7.50000000*6.00000000,8.00000000e+00*8.00000000e+00,node
0,110,-7.50000000*7.50000000,8.00000000e+00*8.00000000e+00,node
0,111,-7.50000000*9.00000000,4.00000000e+00*4.00000000e+00,node
0,112,-7.50000000*10.50000000,4.00000000e+00*4.00000000e+00,node
0,113,-7.50000000*12.00000000,4.00000000e+00*4.00000000e+00,node
0,114,-7.50000000*13.50000000,1.60000000e+01*1.60000000e+01,node
0,115,-6.00000000*-15.00000000,8.00000000e+00*8.00000000e+00,node
0,116,-6.00000000*-13.50000000,8.00000000e+00*8.00000000e+00,node
0,117,-6.00000000*-12.00000000,4.00000000e+00*4.00000000e+00,node
0,118,-6.00000000*-10.50000000,4.00000000e+00*4.00000000e+00,node
0,119,-6.00000000*-9.00000000,8.00000000e+00*8.00000000e+00,node
0,120,-6.00000000*-7.50000000,8.00000000e+00*8.00000000e+00,node
0,121,-6.00000000*-6.00000000,8.00000000e+00*8.00000000e+00,node
0,122,-6.00000000*-4.50000000,8.00000000e+00*8.00000000e+00,node
0,123,-6.00000000*-3.00000000,1.60000000e+01*1.60000000e+01,node
0,124,-6.00000000*-1.50000000,1.60000000e+01*1.60000000e+01,node
0,125,-6.00000000*0.00000000,1.60000000e+01*1.60000000e+01,node
0,126,-6.00000000*1.50000000,1.60000000e+01*1.60000000e+01,node
0,127,-6.00000000*3.00000000,1.60000000e+01*1.60000000e+01,node
