layer,nr,cvs,kappas,type
1,0,-3.75000000*-0.75000000,1.60000000e+01*1.60000000e+01,node
1,1,-3.75000000*0.75000000,1.60000000e+01*1.60000000e+01,node
1,2,-3.00000000*-0.75000000,8.00000000e+00*8.00000000e+00,node
1,3,-3.00000000*0.75000000,4.00000000e+00*4.00000000e+00,node
1,4,-2.25000000*-2.25000000,4.00000000e+00*4.00000000e+00,node
1,5,-2.25000000*-1.50000000,4.00000000e+00*4.00000000e+00,node
1,6,-2.25000000*-0.75000000,4.00000000e+00*4.00000000e+00,node
1,7,-2.25000000*0.00000000,4.00000000e+00*4.00000000e+00,node
1,8,-2.25000000*0.75000000,2.00000000e+00*2.00000000e+00,node
1,9,-2.25000000*1.50000000,2.00000000e+00*2.00000000e+00,node
1,10,-2.25000000*2.25000000,8.00000000e+00*8.00000000e+00,node
1,11,-1.50000000*-2.25000000,2.00000000e+00*2.00000000e+00,node
1,12,-1.50000000*-0.75000000,4.00000000e+00*4.00000000e+00,node
1,13,-1.50000000*0.75000000,4.00000000e+00*4.00000000e+00,node
1,14,-1.50000000*2.25000000,1.00000000e+00*1.00000000e+00,node
1,15,-0.75000000*-3.75000000,1.60000000e+01*1.60000000e+01,node
1,16,-0.75000000*-3.00000000,4.00000000e+00*4.00000000e+00,node
1,17,-0.75000000*-2.25000000,1.00000000e+00*1.00000000e+00,node
1,18,-0.75000000*-0.75000000,1.60000000e+01*1.60000000e+01,node
1,19,-0.75000000*0.75000000,1.60000000e+01*1.60000000e+01,node
1,20,-0.75000000*1.50000000,2.00000000e+00*2.00000000e+00,node
1,21,-0.75000000*2.25000000,2.00000000e+00*2.00000000e+00,node
1,22,-0.75000000*3.00000000,8.00000000e+00*8.00000000e+00,node
1,23,-0.75000000*3.75000000,1.60000000e+01*1.60000000e+01,node
1,24,0.00000000*2.25000000,1.00000000e+00*1.00000000e+00,node
1,25,0.75000000*-3.75000000,1.60000000e+01*1.60000000e+01,node
1,26,0.75000000*-3.00000000,4.00000000e+00*4.00000000e+00,node
1,27,0.75000000*-2.25000000,2.00000000e+00*2.00000000e+00,node
1,28,0.75000000*-0.75000000,1.60000000e+01*1.60000000e+01,node
1,29,0.75000000*0.75000000,1.60000000e+01*1.60000000e+01,node
1,30,0.75000000*1.50000000,4.00000000e+00*4.00000000e+00,node
1,31,0.75000000*2.25000000,1.00000000e+00*1.00000000e+00,node
1,32,0.75000000*3.00000000,4.00000000e+00*4.00000000e+00,node
1,33,0.75000000*3.75000000,1.60000000e+01*1.60000000e+01,node
1,34,1.50000000*-2.25000000,2.00000000e+00*2.00000000e+00,node
1,35,1.50000000*-0.75000000,4.00000000e+00*4.00000000e+00,node
1,36,1.50000000*0.75000000,4.00000000e+00*4.00000000e+00,node
1,37,1.50000000*2.25000000,2.00000000e+00*2.00000000e+00,node
1,38,2.25000000*-2.25000000,8.00000000e+00*8.00000000e+00,node
1,39,2.25000000*-1.50000000,2.00000000e+00*2.00000000e+00,node
1,40,2.25000000*-0.75000000,2.00000000e+00*2.00000000e+00,node
1,41,2.25000000*0.00000000,1.00000000e+00*1.00000000e+00,node
1,42,2.25000000*0.75000000,1.00000000e+00*1.00000000e+00,node
1,43,2.25000000*1.50000000,2.00000000e+00*2.00000000e+00,node
1,44,2.25000000*2.25000000,8.00000000e+00*8.00000000e+00,node
1,45,3.00000000*-0.75000000,4.00000000e+00*4.00000000e+00,node
1,46,3.00000000*0.75000000,4.00000000e+00*4.00000000e+00,node
1,47,3.75000000*-0.75000000,1.60000000e+01*1.60000000e+01,node
1,48,3.75000000*0.75000000,1.60000000e+01*1.60000000e+01,node
1,49,-3.00000000*-1.50000000,8.00000000e+00*8.00000000e+00,realized_benchmark_node
1,50,-3.00000000*0.00000000,4.00000000e+00*4.00000000e+00,realized_benchmark_node
1,51,-3.00000000*1.50000000,8.00000000e+00*8.00000000e+00,realized_benchmark_node
1,52,-1.50000000*-3.00000000,8.00000000e+00*8.00000000e+00,realized_benchmark_node
1,53,-1.50000000*-1.50000000,4.00000000e+00*4.00000000e+00,realized_benchmark_node
1,54,-1.50000000*0.00000000,8.00000000e+00*8.00000000e+00,realized_benchmark_node
1,55,-1.50000000*1.50000000,2.00000000e+00*2.00000000e+00,realized_benchmark_node
1,56,-1.50000000*3.00000000,8.00000000e+00*8.00000000e+00,realized_benchmark_node
1,57,0.00000000*-3.00000000,4.00000000e+00*4.00000000e+00,realized_benchmark_node
1,58,0.00000000*1.50000000,8.00000000e+00*8.00000000e+00,realized_benchmark_node
1,59,0.00000000*3.00000000,4.00000000e+00*4.00000000e+00,realized_benchmark_node
1,60,1.50000000*-3.00000000,8.00000000e+00*8.00000000e+00,realized_benchmark_node
1,61,1.50000000*-1.50000000,2.00000000e+00*2.00000000e+00,realized_benchmark_node
1,62,1.50000000*0.00000000,8.00000000e+00*8.00000000e+00,realized_benchmark_node
1,63,1.50000000*1.50000000,2.00000000e+00*2.00000000e+00,realized_benchmark_node
1,64,1.50000000*3.00000000,8.00000000e+00*8.00000000e+00,realized_benchmark_node
1,65,3.00000000*-1.50000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,66,3.00000000*0.00000000,4.00000000e+00*4.00000000e+00,realized_benchmark_node
1,67,3.00000000*1.50000000,8.00000000e+00*8.00000000e+00,realized_benchmark_node
1,68,-16.50000000*-3.75000000,8.00000000e+00*8.00000000e+00,node
1,69,-16.50000000*-2.25000000,6.40000000e+01*6.40000000e+01,node
1,70,-16.50000000*6.75000000,1.60000000e+01*1.60000000e+01,node
1,71,-16.50000000*8.25000000,8.00000000e+00*8.00000000e+00,node
1,72,-15.75000000*-5.25000000,8.00000000e+00*8.00000000e+00,node
1,73,-15.75000000*-4.50000000,3.20000000e+01*3.20000000e+01,node
1,74,-15.75000000*-3.75000000,8.00000000e+00*8.00000000e+00,node
1,75,-15.75000000*-2.25000000,1.60000000e+01*1.60000000e+01,node
1,76,-15.75000000*5.25000000,8.00000000e+00*8.00000000e+00,node
1,77,-15.75000000*6.00000000,8.00000000e+00*8.00000000e+00,node
1,78,-15.75000000*6.75000000,1.60000000e+01*1.60000000e+01,node
1,79,-15.75000000*8.25000000,3.20000000e+01*3.20000000e+01,node
1,80,-15.00000000*-5.25000000,4.00000000e+00*4.00000000e+00,node
1,81,-14.25000000*-11.25000000,8.00000000e+00*8.00000000e+00,node
1,82,-14.25000000*-10.50000000,1.60000000e+01*1.60000000e+01,node
1,83,-14.25000000*-9.75000000,1.60000000e+01*1.60000000e+01,node
1,84,-14.25000000*-6.75000000,4.00000000e+00*4.00000000e+00,node
1,85,-14.25000000*-6.00000000,1.60000000e+01*1.60000000e+01,node
1,86,-14.25000000*-5.25000000,1.60000000e+01*1.60000000e+01,node
1,87,-14.25000000*5.25000000,8.00000000e+00*8.00000000e+00,node
1,88,-14.25000000*6.00000000,4.00000000e+00*4.00000000e+00,node
1,89,-14.25000000*6.75000000,3.20000000e+01*3.20000000e+01,node
1,90,-14.25000000*9.75000000,8.00000000e+00*8.00000000e+00,node
1,91,-14.25000000*10.50000000,8.00000000e+00*8.00000000e+00,node
1,92,-14.25000000*11.25000000,4.00000000e+00*4.00000000e+00,node
1,93,-13.50000000*-6.75000000,1.60000000e+01*1.60000000e+01,node
1,94,-13.50000000*5.25000000,8.00000000e+00*8.00000000e+00,node
1,95,-13.50000000*6.75000000,1.60000000e+01*1.60000000e+01,node
1,96,-12.75000000*-11.25000000,4.00000000e+00*4.00000000e+00,node
1,97,-12.75000000*-10.50000000,8.00000000e+00*8.00000000e+00,node
1,98,-12.75000000*-9.75000000,1.60000000e+01*1.60000000e+01,node
1,99,-12.75000000*-8.25000000,8.00000000e+00*8.00000000e+00,node
1,100,-12.75000000*-7.50000000,8.00000000e+00*8.00000000e+00,node
1,101,-12.75000000*-6.75000000,4.00000000e+00*4.00000000e+00,node
1,102,-12.75000000*5.25000000,8.00000000e+00*8.00000000e+00,node
1,103,-12.75000000*6.00000000,8.00000000e+00*8.00000000e+00,node
1,104,-12.75000000*6.75000000,4.00000000e+00*4.00000000e+00,node
1,105,-12.00000000*-9.75000000,3.20000000e+01*3.20000000e+01,node
1,106,-12.00000000*-8.25000000,1.60000000e+01*1.60000000e+01,node
1,107,-11.25000000*-9.75000000,1.60000000e+01*1.60000000e+01,node
1,108,-11.25000000*-8.25000000,1.60000000e+01*1.60000000e+01,node
1,109,-3.75000000*-15.75000000,1.60000000e+01*1.60000000e+01,node
1,110,-3.75000000*15.75000000,1.60000000e+01*1.60000000e+01,node
1,111,-3.00000000*-15.75000000,8.00000000e+00*8.00000000e+00,node
1,112,-3.00000000*15.75000000,1.60000000e+01*1.60000000e+01,node
1,113,-2.25000000*-17.25000000,8.00000000e+00*8.00000000e+00,node
1,114,-2.25000000*-16.50000000,1.60000000e+01*1.60000000e+01,node
1,115,-2.25000000*-15.75000000,8.00000000e+00*8.00000000e+00,node
1,116,-2.25000000*-15.00000000,8.00000000e+00*8.00000000e+00,node
1,117,-2.25000000*-14.25000000,8.00000000e+00*8.00000000e+00,node
1,118,-2.25000000*14.25000000,1.60000000e+01*1.60000000e+01,node
1,119,-2.25000000*15.00000000,3.20000000e+01*3.20000000e+01,node
1,120,-2.25000000*15.75000000,8.00000000e+00*8.00000000e+00,node
1,121,-2.25000000*16.50000000,1.60000000e+01*1.60000000e+01,node
1,122,-2.25000000*17.25000000,4.00000000e+00*4.00000000e+00,node
1,123,-1.50000000*-15.75000000,8.00000000e+00*8.00000000e+00,node
1,124,-1.50000000*15.75000000,1.60000000e+01*1.60000000e+01,node
1,125,-0.75000000*-15.75000000,1.60000000e+01*1.60000000e+01,node
1,126,-0.75000000*-15.00000000,1.60000000e+01*1.60000000e+01,node
1,127,-0.75000000*-14.25000000,8.00000000e+00*8.00000000e+00,node
1,128,-0.75000000*-1.50000000,4.00000000e+00*4.00000000e+00,node
1,129,-0.75000000*14.25000000,8.00000000e+00*8.00000000e+00,node
1,130,-0.75000000*15.00000000,1.60000000e+01*1.60000000e+01,node
1,131,-0.75000000*15.75000000,1.60000000e+01*1.60000000e+01,node
1,132,0.00000000*-2.25000000,4.00000000e+00*4.00000000e+00,node
1,133,0.75000000*-15.75000000,3.20000000e+01*3.20000000e+01,node
1,134,0.75000000*-15.00000000,1.60000000e+01*1.60000000e+01,node
1,135,0.75000000*-14.25000000,4.00000000e+00*4.00000000e+00,node
1,136,0.75000000*-1.50000000,2.00000000e+00*2.00000000e+00,node
1,137,0.75000000*14.25000000,4.00000000e+00*4.00000000e+00,node
1,138,0.75000000*15.00000000,8.00000000e+00*8.00000000e+00,node
1,139,0.75000000*15.75000000,8.00000000e+00*8.00000000e+00,node
1,140,1.50000000*-14.25000000,1.60000000e+01*1.60000000e+01,node
1,141,2.25000000*-14.25000000,8.00000000e+00*8.00000000e+00,node
1,142,11.25000000*-11.25000000,8.00000000e+00*8.00000000e+00,node
1,143,11.25000000*-10.50000000,8.00000000e+00*8.00000000e+00,node
1,144,11.25000000*-9.75000000,8.00000000e+00*8.00000000e+00,node
1,145,11.25000000*-8.25000000,4.00000000e+00*4.00000000e+00,node
1,146,11.25000000*8.25000000,4.00000000e+00*4.00000000e+00,node
1,147,11.25000000*9.75000000,3.20000000e+01*3.20000000e+01,node
1,148,12.00000000*-9.75000000,3.20000000e+01*3.20000000e+01,node
1,149,12.00000000*-8.25000000,8.00000000e+00*8.00000000e+00,node
1,150,12.00000000*8.25000000,8.00000000e+00*8.00000000e+00,node
1,151,12.00000000*9.75000000,4.00000000e+00*4.00000000e+00,node
1,152,12.75000000*-11.25000000,1.60000000e+01*1.60000000e+01,node
1,153,12.75000000*-10.50000000,1.60000000e+01*1.60000000e+01,node
1,154,12.75000000*-9.75000000,3.20000000e+01*3.20000000e+01,node
1,155,12.75000000*-8.25000000,1.60000000e+01*1.60000000e+01,node
1,156,12.75000000*-7.50000000,4.00000000e+00*4.00000000e+00,node
1,157,12.75000000*-6.75000000,1.60000000e+01*1.60000000e+01,node
1,158,12.75000000*5.25000000,8.00000000e+00*8.00000000e+00,node
1,159,12.75000000*6.75000000,4.00000000e+00*4.00000000e+00,node
1,160,12.75000000*7.50000000,8.00000000e+00*8.00000000e+00,node
1,161,12.75000000*8.25000000,8.00000000e+00*8.00000000e+00,node
1,162,12.75000000*9.75000000,1.60000000e+01*1.60000000e+01,node
1,163,12.75000000*10.50000000,1.60000000e+01*1.60000000e+01,node
1,164,12.75000000*11.25000000,2.00000000e+00*2.00000000e+00,node
1,165,13.50000000*-6.75000000,1.60000000e+01*1.60000000e+01,node
1,166,13.50000000*5.25000000,1.60000000e+01*1.60000000e+01,node
1,167,13.50000000*6.75000000,4.00000000e+00*4.00000000e+00,node
1,168,14.25000000*-6.75000000,8.00000000e+00*8.00000000e+00,node
1,169,14.25000000*5.25000000,1.60000000e+01*1.60000000e+01,node
1,170,14.25000000*6.00000000,3.20000000e+01*3.20000000e+01,node
1,171,14.25000000*6.75000000,8.00000000e+00*8.00000000e+00,node
1,172,15.75000000*5.25000000,8.00000000e+00*8.00000000e+00,node
1,173,15.75000000*6.00000000,1.60000000e+01*1.60000000e+01,node
1,174,15.75000000*6.75000000,4.00000000e+00*4.00000000e+00,node
1,175,16.50000000*6.75000000,4.00000000e+00*4.00000000e+00,node
1,176,-16.50000000*-4.50000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,177,-16.50000000*-3.00000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,178,-16.50000000*-1.50000000,8.00000000e+00*8.00000000e+00,realized_benchmark_node
