16,17,18,19,220,221
20,22,156,584,617,1389
21,1820,1827,1830,1970,2626
182,215,422,424,558,987
183,986,1019,1226,1228,1362
184,1821,1824,1825,1826,2373
212,219,222,362,1018,1629
213,216,217,218,765,1792
214,1016,1023,1026,1166,2433
363,615,618,619,620,2194
418,419,420,421,622,623
423,2222,2229,2232,2372,3028
585,824,826,960,1388,1421
586,1971,2223,2226,2227,2228
614,621,624,764,1420,2031
616,1418,1425,1428,1568,2835
820,821,822,823,1024,1025
825,1822,2624,2631,2634,2774
988,2625,2628,2629,2630,3177
1017,1020,1021,1022,1569,2596
1167,1419,1422,1423,1424,2998
1222,1223,1224,1225,1426,1427
1227,2224,3026,3033,3036,3176
1390,2775,3027,3030,3031,3032
1624,1625,1626,1627,1828,1829
1628,1630,1764,2192,2225,2997
1790,1823,2030,2032,2166,2595
1791,2594,2627,2834,2836,2970
2026,2027,2028,2029,2230,2231
2193,2432,2434,2568,2996,3029
2428,2429,2430,2431,2632,2633
2830,2831,2832,2833,3034,3035
