1e5	run1	15905
1e5	run2	9928
1e5	run3	20311
1e5	run4	6434
1e5	run5	61664
1e5	run6	12895
1e5	run7	34542
1e5	run8	17959
1e5	run9	17600
1e5	run10	10221
1e5	run11	8605
1e5	run12	28688
1e5	run13	9315
1e5	run14	29546
1e5	run15	60770
1e5	run16	55905
1e5	run17	11011
1e5	run18	8110
1e5	run19	7496
1e5	run20	13174
1e5	run21	9750
1e5	run22	4160
1e5	run23	28725
1e5	run24	11173
1e5	run25	4694
1e5	run26	4050
1e5	run27	4358
1e5	run28	5544
1e5	run29	1140
1e5	run30	2006
1e5	run31	1552
1e5	run32	1663
1e5	run33	2534
1e5	run34	2693
1e5	run35	5834
1e5	run36	7650
1e5	run37	1067
1e5	run38	5999
1e5	run39	3721
1e5	run40	1593
1e5	run41	5236
1e5	run42	6772
1e5	run43	1312
1e5	run44	1429
1e5	run45	1768
1e5	run46	290
1e5	run47	4460
1e5	run48	11718
1e5	run49	3596
1e5	run50	2817
1e5	run51	892
1e5	run52	451
1e5	run53	1857
1e5	run54	2551
1e5	run55	1105
1e5	run56	4120
1e5	run57	595
1e5	run58	1075
1e5	run59	413
1e5	run60	461
1e5	run61	1545
1e5	run62	5414
1e5	run63	1972
1e5	run64	2881
1e5	run65	1819
1e5	run66	752
1e5	run67	9787
1e5	run68	2093
1e5	run69	8722
1e5	run70	1670
1e5	run71	1118
1e5	run72	807
1e5	run73	1077
1e5	run74	2177
1e5	run75	2540
1e5	run76	1323
1e5	run77	692
1e5	run78	986
1e5	run79	1809
1e5	run80	8980
1e5	run81	635
1e5	run82	2677
1e5	run83	748
1e5	run84	894
1e5	run85	3131
1e5	run86	781
1e5	run87	1432
1e5	run88	1435
1e5	run89	1469
1e5	run90	578
1e5	run91	1615
1e5	run92	1005
1e5	run93	1651
1e5	run94	2285
1e5	run95	4818
1e5	run96	3255
1e5	run97	882
1e5	run98	752
1e5	run99	746
1e5	run100	2187
3e5	run1	15886
3e5	run2	13473
3e5	run3	30506
3e5	run4	24476
3e5	run5	3949
3e5	run6	2570
3e5	run7	30622
3e5	run8	17729
3e5	run9	9649
3e5	run10	13175
3e5	run11	4389
3e5	run12	40561
3e5	run13	28327
3e5	run14	35689
3e5	run15	3354
3e5	run16	41985
3e5	run17	3738
3e5	run18	33268
3e5	run19	62366
3e5	run20	42706
3e5	run21	39694
3e5	run22	5974
3e5	run23	13267
3e5	run24	10009
3e5	run25	22536
3e5	run26	2219
3e5	run27	1117
3e5	run28	939
3e5	run29	1880
3e5	run30	993
3e5	run31	632
3e5	run32	3098
3e5	run33	1699
3e5	run34	895
3e5	run35	1042
3e5	run36	1655
3e5	run37	3940
3e5	run38	7050
3e5	run39	862
3e5	run40	341
3e5	run41	643
3e5	run42	2225
3e5	run43	815
3e5	run44	5700
3e5	run45	3647
3e5	run46	634
3e5	run47	2865
3e5	run48	1759
3e5	run49	1954
3e5	run50	4293
3e5	run51	1151
3e5	run52	677
3e5	run53	441
3e5	run54	5395
3e5	run55	1962
3e5	run56	1126
3e5	run57	619
3e5	run58	1121
3e5	run59	716
3e5	run60	3295
