14,15,16,17,218,219
18,20,154,564,597,1333
19,1746,1753,1756,1880,2516
180,213,402,404,538,949
181,948,981,1170,1172,1306
182,1747,1750,1751,1752,2265
210,217,220,344,980,1555
211,214,215,216,729,1718
212,978,985,988,1112,2323
345,595,598,599,600,2102
398,399,400,401,602,603
403,2130,2137,2140,2264,2900
565,786,788,922,1332,1365
566,1881,2131,2134,2135,2136
594,601,604,728,1364,1939
596,1362,1369,1372,1496,2707
782,783,784,785,986,987
787,1748,2514,2521,2524,2648
950,2515,2518,2519,2520,3033
979,982,983,984,1497,2486
1113,1363,1366,1367,1368,2870
1166,1167,1168,1169,1370,1371
1171,2132,2898,2905,2908,3032
1334,2649,2899,2902,2903,2904
1550,1551,1552,1553,1754,1755
1554,1556,1690,2100,2133,2869
1716,1749,1938,1940,2074,2485
1717,2484,2517,2706,2708,2842
1934,1935,1936,1937,2138,2139
2101,2322,2324,2458,2868,2901
2318,2319,2320,2321,2522,2523
2702,2703,2704,2705,2906,2907
