14,15,16,17,218,219
18,20,154,604,637,1453
19,1906,1913,1916,2040,2756
180,213,442,444,578,1029
181,1028,1061,1290,1292,1426
182,1907,1910,1911,1912,2465
210,217,220,344,1060,1715
211,214,215,216,769,1878
212,1058,1065,1068,1192,2563
345,635,638,639,640,2302
438,439,440,441,642,643
443,2330,2337,2340,2464,3180
605,866,868,1002,1452,1485
606,2041,2331,2334,2335,2336
634,641,644,768,1484,2139
636,1482,1489,1492,1616,2987
862,863,864,865,1066,1067
867,1908,2754,2761,2764,2888
1030,2755,2758,2759,2760,3313
1059,1062,1063,1064,1617,2726
1193,1483,1486,1487,1488,3150
1286,1287,1288,1289,1490,1491
1291,2332,3178,3185,3188,3312
1454,2889,3179,3182,3183,3184
1710,1711,1712,1713,1914,1915
1714,1716,1850,2300,2333,3149
1876,1909,2138,2140,2274,2725
1877,2724,2757,2986,2988,3122
2134,2135,2136,2137,2338,2339
2301,2562,2564,2698,3148,3181
2558,2559,2560,2561,2762,2763
2982,2983,2984,2985,3186,3187
