14,15,16,17,218,219
18,20,154,584,617,1393
19,1826,1833,1836,1960,2636
180,213,422,424,558,989
181,988,1021,1230,1232,1366
182,1827,1830,1831,1832,2365
210,217,220,344,1020,1635
211,214,215,216,749,1798
212,1018,1025,1028,1152,2443
345,615,618,619,620,2202
418,419,420,421,622,623
423,2230,2237,2240,2364,3040
585,826,828,962,1392,1425
586,1961,2231,2234,2235,2236
614,621,624,748,1424,2039
616,1422,1429,1432,1556,2847
822,823,824,825,1026,1027
827,1828,2634,2641,2644,2768
990,2635,2638,2639,2640,3173
1019,1022,1023,1024,1557,2606
1153,1423,1426,1427,1428,3010
1226,1227,1228,1229,1430,1431
1231,2232,3038,3045,3048,3172
1394,2769,3039,3042,3043,3044
1630,1631,1632,1633,1834,1835
1634,1636,1770,2200,2233,3009
1796,1829,2038,2040,2174,2605
1797,2604,2637,2846,2848,2982
2034,2035,2036,2037,2238,2239
2201,2442,2444,2578,3008,3041
2438,2439,2440,2441,2642,2643
2842,2843,2844,2845,3046,3047
