1:	1ps	Berendsen	1e5	19.4926669788	6.51587879663	6.5088469671	90.0109856886	89.9966763328	96.3121578135	821.687454157
2:	1ps	Berendsen	1e5	19.4884692404	6.51589718325	6.50800001435	89.9925404668	90.0076577701	96.3053663018	821.416663484
3:	1ps	Berendsen	1e5	19.4909883805	6.51569590587	6.50762601103	89.996765725	90.0046871387	96.335612606	821.40244846
4:	1ps	Berendsen	1e5	19.4917201983	6.51561276117	6.50306638376	90.0029056694	89.9994787043	96.3258130728	820.862564284
5:	1ps	Berendsen	1e5	19.4912398321	6.51568825793	6.50333972416	90.0014569137	89.9998605801	96.3266515486	820.884604239
6:	1ps	Berendsen	1e5	19.4893823249	6.51631526465	6.50857319688	89.9984091909	90.0007055318	96.2927107565	821.600139085
7:	1ps	Berendsen	1e5	19.4881357892	6.51631414988	6.50146513539	90.0036932824	89.9956942467	96.3199885102	820.606967642
8:	1ps	Berendsen	1e5	19.4886946156	6.51630484245	6.50257342117	89.9709343797	90.0070390366	96.2862525568	820.822555294
9:	1ps	Berendsen	1e5	19.4935912039	6.51544026094	6.51320920044	90.0028294227	90.0000648823	96.3095772611	822.225842931
10:	1ps	Berendsen	1e5	19.4909443915	6.51606563971	6.50520642716	89.9998788831	89.999610673	96.3007705491	821.196772228
GEM:	1ps	Berendsen	1e5	19.4905832955	6.51592130625	6.50619064814	89.9980399622	90.0011474896	96.3114900976	821.27060118

