16,17,18,19,220,221
20,22,156,602,635,1443
21,1892,1899,1902,2060,2734
182,215,440,442,576,1023
183,1022,1055,1280,1282,1416
184,1893,1896,1897,1898,2481
212,219,222,380,1054,1701
213,216,217,218,801,1864
214,1052,1059,1062,1220,2541
381,633,636,637,638,2284
436,437,438,439,640,641
441,2312,2319,2322,2480,3154
603,860,862,996,1442,1475
604,2061,2313,2316,2317,2318
632,639,642,800,1474,2121
634,1472,1479,1482,1640,2961
856,857,858,859,1060,1061
861,1894,2732,2739,2742,2900
1024,2733,2736,2737,2738,3321
1053,1056,1057,1058,1641,2704
1221,1473,1476,1477,1478,3124
1276,1277,1278,1279,1480,1481
1281,2314,3152,3159,3162,3320
1444,2901,3153,3156,3157,3158
1696,1697,1698,1699,1900,1901
1700,1702,1836,2282,2315,3123
1862,1895,2120,2122,2256,2703
1863,2702,2735,2960,2962,3096
2116,2117,2118,2119,2320,2321
2283,2540,2542,2676,3122,3155
2536,2537,2538,2539,2740,2741
2956,2957,2958,2959,3160,3161
