layer,nr,cvs,kappas,type
1,2374,18.00000000*-12.75000000,3.20000000e+01*3.20000000e+01,realized_benchmark_node
1,2375,18.00000000*-11.25000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2376,18.00000000*-9.75000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2377,18.75000000*10.50000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2378,19.50000000*9.75000000,8.00000000e+00*8.00000000e+00,realized_benchmark_node
1,2379,20.25000000*-4.50000000,3.20000000e+01*3.20000000e+01,realized_benchmark_node
1,2380,20.25000000*-3.00000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2381,20.25000000*-1.50000000,8.00000000e+00*8.00000000e+00,realized_benchmark_node
1,2382,20.25000000*0.00000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2383,21.00000000*-3.75000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2384,21.00000000*-0.75000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2385,21.00000000*0.75000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2386,-19.50000000*8.25000000,3.20000000e+01*3.20000000e+01,realized_benchmark_node
1,2387,-19.50000000*9.75000000,3.20000000e+01*3.20000000e+01,realized_benchmark_node
1,2388,-18.75000000*7.50000000,6.40000000e+01*6.40000000e+01,realized_benchmark_node
1,2389,-18.75000000*9.00000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2390,-18.75000000*10.50000000,3.20000000e+01*3.20000000e+01,realized_benchmark_node
1,2391,-16.50000000*15.75000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2392,-15.75000000*16.50000000,4.00000000e+00*4.00000000e+00,realized_benchmark_node
1,2393,-15.00000000*-14.25000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2394,-14.25000000*-15.00000000,3.20000000e+01*3.20000000e+01,realized_benchmark_node
1,2395,-12.75000000*18.00000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2396,-11.25000000*-16.50000000,8.00000000e+00*8.00000000e+00,realized_benchmark_node
1,2397,-10.50000000*-17.25000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2398,-9.75000000*-18.00000000,8.00000000e+00*8.00000000e+00,realized_benchmark_node
1,2399,-6.75000000*19.50000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2400,-6.00000000*18.75000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2401,-5.25000000*19.50000000,3.20000000e+01*3.20000000e+01,realized_benchmark_node
1,2402,0.75000000*21.00000000,3.20000000e+01*3.20000000e+01,realized_benchmark_node
1,2403,2.25000000*-21.00000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2404,3.00000000*-20.25000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2405,3.75000000*-21.00000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2406,4.50000000*-20.25000000,3.20000000e+01*3.20000000e+01,realized_benchmark_node
1,2407,5.25000000*-19.50000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2408,8.25000000*19.50000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2409,9.00000000*18.75000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2410,9.75000000*18.00000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2411,10.50000000*17.25000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2412,11.25000000*-18.00000000,8.00000000e+00*8.00000000e+00,realized_benchmark_node
1,2413,12.00000000*-17.25000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2414,12.75000000*-18.00000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2415,17.25000000*12.00000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2416,18.00000000*11.25000000,3.20000000e+01*3.20000000e+01,realized_benchmark_node
1,2417,18.75000000*-6.00000000,3.20000000e+01*3.20000000e+01,realized_benchmark_node
1,2418,19.50000000*-5.25000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2419,21.00000000*-2.25000000,3.20000000e+01*3.20000000e+01,realized_benchmark_node
1,2420,-21.00000000*2.25000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2421,-21.00000000*3.75000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2422,-20.25000000*3.00000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2423,-20.25000000*4.50000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2424,-9.00000000*-18.75000000,8.00000000e+00*8.00000000e+00,realized_benchmark_node
1,2425,-8.25000000*-19.50000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2426,-3.75000000*-21.00000000,8.00000000e+00*8.00000000e+00,realized_benchmark_node
1,2427,14.25000000*15.00000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2428,15.00000000*14.25000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2429,19.50000000*-6.75000000,3.20000000e+01*3.20000000e+01,realized_benchmark_node
1,2430,-18.00000000*14.25000000,8.00000000e+00*8.00000000e+00,realized_benchmark_node
1,2431,-17.25000000*15.00000000,4.00000000e+00*4.00000000e+00,realized_benchmark_node
1,2432,-7.50000000*-20.25000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2433,-6.75000000*-21.00000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,2434,-19.50000000*6.75000000,3.20000000e+01*3.20000000e+01,realized_benchmark_node
